Product,Region,Month,Units,AvgPrice_USD,Revenue_USD
Managed Services,KSA,2024-06,175.9,5017.57,882788.86
Managed Services,KSA,2024-07,183.5,5009.5,919476.75
Managed Services,KSA,2024-08,194.2,5030.81,976793.94
Managed Services,KSA,2024-09,197.9,5017.0,993058.8
Managed Services,KSA,2024-10,208.0,5045.64,1049560.34
Managed Services,KSA,2024-11,216.2,5040.04,1089885.06
Managed Services,KSA,2024-12,213.9,5029.06,1075717.07
Managed Services,KSA,2025-01,221.6,5020.99,1112615.64
Managed Services,KSA,2025-02,218.9,5043.05,1103891.17
Managed Services,KSA,2025-03,218.9,5056.83,1107038.79
Managed Services,KSA,2025-04,216.1,5079.71,1097488.38
Managed Services,KSA,2025-05,228.8,5093.73,1165445.42
Managed Services,KSA,2025-06,224.0,5078.98,1137732.16
Managed Services,KSA,2025-07,220.8,5097.43,1125758.44
Managed Services,KSA,2025-08,228.8,5091.5,1164910.29
Managed Services,KSA,2025-09,239.8,5092.74,1221465.8
Managed Services,KSA,2025-10,237.0,5080.92,1204355.75
Managed Services,KSA,2025-11,246.1,5077.78,1249710.41
Managed Services,KSA,2025-12,254.9,5081.92,1295405.25
Managed Services,KSA,2026-01,270.6,5096.58,1378937.95
Managed Services,KSA,2026-02,287.6,5115.62,1471478.26
Managed Services,KSA,2026-03,290.5,5109.48,1484379.77
Managed Services,India,2023-04,78.7,2409.57,189670.01
Managed Services,India,2023-05,77.5,2417.2,187344.13
Managed Services,India,2023-06,80.3,2423.47,194541.39
Managed Services,India,2023-07,83.5,2422.98,202294.32
Managed Services,India,2023-08,87.0,2424.72,210903.35
Managed Services,India,2023-09,90.4,2429.1,219484.84
Managed Services,India,2023-10,95.1,2429.01,230988.96
Managed Services,India,2023-11,94.5,2438.41,230455.35
Managed Services,India,2023-12,100.7,2438.05,245575.32
Managed Services,India,2024-01,107.1,2439.54,261313.6
Managed Services,India,2024-02,105.7,2446.3,258451.67
Managed Services,India,2024-03,106.5,2450.71,261088.4
Managed Services,India,2024-04,106.5,2456.86,261568.69
Managed Services,India,2024-05,111.7,2464.02,275275.11
Managed Services,India,2024-06,118.8,2460.68,292247.16
Managed Services,India,2024-07,117.8,2457.62,289602.31
Managed Services,India,2024-08,120.8,2463.36,297657.38
Managed Services,India,2024-09,126.9,2467.31,313075.4
Managed Services,India,2024-10,131.7,2480.98,326795.75
Managed Services,India,2024-11,137.3,2487.57,341430.9
Managed Services,India,2024-12,144.8,2483.94,359590.55
Managed Services,India,2025-01,148.0,2484.0,367513.81
Managed Services,India,2025-02,156.7,2487.64,389879.61
Managed Services,India,2025-03,153.4,2491.3,382196.7
Managed Services,India,2025-04,158.9,2485.8,394895.82
Managed Services,India,2025-05,164.8,2498.3,411717.2
Managed Services,India,2025-06,173.0,2508.98,434040.8
Managed Services,India,2025-07,174.3,2519.25,439151.56
Managed Services,India,2025-08,183.0,2532.37,463440.22
Managed Services,India,2025-09,184.4,2531.17,466653.31
Managed Services,India,2025-10,191.5,2534.79,485436.32
Managed Services,India,2025-11,195.1,2533.69,494333.99
Managed Services,India,2025-12,206.4,2538.99,524007.7
Managed Services,India,2026-01,206.1,2544.79,524607.02
Managed Services,India,2026-02,201.6,2546.94,513387.16
Managed Services,India,2026-03,211.3,2540.42,536859.0
Managed Services,UK,2023-04,33.8,4302.72,145445.89
Managed Services,UK,2023-05,34.7,4294.69,148920.87
Managed Services,UK,2023-06,36.2,4299.49,155599.53
Managed Services,UK,2023-07,38.0,4317.63,164003.92
Managed Services,UK,2023-08,38.8,4327.75,167886.19
Managed Services,UK,2023-09,40.6,4346.53,176650.21
Managed Services,UK,2023-10,41.8,4368.83,182400.52
Managed Services,UK,2023-11,44.0,4381.41,192984.9
Managed Services,UK,2023-12,44.5,4391.24,195463.63
Managed Services,UK,2024-01,44.0,4378.94,192695.61
Managed Services,UK,2024-02,46.3,4366.77,202394.56
Managed Services,UK,2024-03,45.9,4367.83,200460.76
Managed Services,UK,2024-04,48.2,4368.65,210505.72
Managed Services,UK,2024-05,47.9,4372.65,209423.81
Managed Services,UK,2024-06,47.1,4376.62,206321.96
Managed Services,UK,2024-07,48.5,4402.55,213416.3
Managed Services,UK,2024-08,51.1,4421.61,225912.87
Managed Services,UK,2024-09,50.5,4433.5,223973.58
Managed Services,UK,2024-10,50.5,4421.44,223131.96
Managed Services,UK,2024-11,51.8,4423.98,229375.71
Managed Services,UK,2024-12,51.2,4437.32,227369.89
Managed Services,UK,2025-01,54.2,4428.17,239947.4
Managed Services,UK,2025-02,55.2,4422.91,244325.33
Managed Services,UK,2025-03,57.4,4440.44,254750.25
Managed Services,UK,2025-04,57.1,4441.98,253751.03
Managed Services,UK,2025-05,59.1,4437.89,262443.17
Managed Services,UK,2025-06,61.4,4452.24,273315.49
Managed Services,UK,2025-07,63.2,4448.76,281103.07
Managed Services,UK,2025-08,65.3,4455.78,291086.06
Managed Services,UK,2025-09,66.9,4480.41,299842.96
Managed Services,UK,2025-10,71.0,4485.52,318682.65
Managed Services,UK,2025-11,73.1,4478.33,327165.2
Managed Services,UK,2025-12,77.5,4482.12,347224.92
Managed Services,UK,2026-01,81.2,4488.82,364353.79
Managed Services,UK,2026-02,86.0,4498.38,386710.98
Managed Services,UK,2026-03,89.6,4498.49,403053.78
Managed Services,USA,2023-04,86.9,4471.42,388432.7
Managed Services,USA,2023-05,91.3,4487.51,409853.13
Managed Services,USA,2023-06,96.3,4481.04,431522.36
Managed Services,USA,2023-07,100.2,4496.86,450637.29
Managed Services,USA,2023-08,102.2,4518.75,461623.48
Managed Services,USA,2023-09,105.9,4540.3,480798.57
Managed Services,USA,2023-10,110.9,4544.63,504143.52
Managed Services,USA,2023-11,109.2,4540.35,495664.0
Managed Services,USA,2023-12,114.8,4564.8,524261.38
Managed Services,USA,2024-01,114.8,4552.08,522772.53
Managed Services,USA,2024-02,114.1,4577.96,522518.87
Managed Services,USA,2024-03,115.3,4591.65,529524.86
Managed Services,USA,2024-04,113.7,4593.89,522470.43
Managed Services,USA,2024-05,115.6,4618.07,533915.25
Managed Services,USA,2024-06,115.5,4605.48,531982.1
Managed Services,USA,2024-07,119.6,4632.22,553931.7
Managed Services,USA,2024-08,119.6,4656.8,556755.73
Managed Services,USA,2024-09,120.2,4658.19,559767.0
Managed Services,USA,2024-10,118.0,4667.38,550640.69
Managed Services,USA,2024-11,117.4,4656.72,546921.73
Managed Services,USA,2024-12,115.8,4643.41,537504.47
Managed Services,USA,2025-01,112.9,4635.16,523125.0
Managed Services,USA,2025-02,118.9,4626.73,550269.11
Managed Services,USA,2025-03,123.7,4619.59,571403.79
Managed Services,USA,2025-04,125.9,4632.75,583311.5
Managed Services,USA,2025-05,130.5,4632.97,604585.83
Managed Services,USA,2025-06,131.4,4652.14,611306.16
Managed Services,USA,2025-07,139.2,4679.1,651447.61
Managed Services,USA,2025-08,147.7,4683.69,691813.99
Managed Services,USA,2025-09,156.5,4687.35,733514.43
Managed Services,USA,2025-10,159.4,4684.8,746581.53
Managed Services,USA,2025-11,158.3,4679.61,740701.94
Managed Services,USA,2025-12,164.3,4674.71,768231.77
Managed Services,USA,2026-01,171.4,4695.18,804834.07
Managed Services,USA,2026-02,182.6,4700.4,858305.19
Managed Services,USA,2026-03,190.1,4691.93,892053.54
Managed Services,Rest of GCC,2023-04,36.8,6052.24,222819.56
Managed Services,Rest of GCC,2023-05,36.1,6086.29,219601.16
Managed Services,Rest of GCC,2023-06,35.5,6068.69,215392.13
Managed Services,Rest of GCC,2023-07,35.8,6077.23,217282.59
Managed Services,Rest of GCC,2023-08,37.2,6062.7,225815.53
Managed Services,Rest of GCC,2023-09,36.9,6078.78,224247.4
Managed Services,Rest of GCC,2023-10,36.7,6115.07,224613.49
Managed Services,Rest of GCC,2023-11,37.5,6149.36,230472.04
Managed Services,Rest of GCC,2023-12,38.4,6174.49,237124.23
Managed Services,Rest of GCC,2024-01,40.8,6207.45,253012.33
Managed Services,Rest of GCC,2024-02,40.9,6237.68,255279.05
Managed Services,Rest of GCC,2024-03,40.1,6269.64,251196.15
Managed Services,Rest of GCC,2024-04,40.7,6257.12,254758.01
Managed Services,Rest of GCC,2024-05,39.7,6248.57,248091.85
Managed Services,Rest of GCC,2024-06,40.7,6261.29,254528.68
Managed Services,Rest of GCC,2024-07,39.8,6268.04,249385.05
Managed Services,Rest of GCC,2024-08,38.8,6294.92,244325.65
Managed Services,Rest of GCC,2024-09,41.3,6278.97,259030.31
Managed Services,Rest of GCC,2024-10,42.5,6307.67,267904.1
Managed Services,Rest of GCC,2024-11,43.1,6337.0,273283.58
Managed Services,Rest of GCC,2024-12,45.5,6324.01,287792.62
Managed Services,Rest of GCC,2025-01,44.8,6332.15,283735.38
Managed Services,Rest of GCC,2025-02,44.4,6367.09,282546.06
Managed Services,Rest of GCC,2025-03,47.0,6390.51,300206.47
Managed Services,Rest of GCC,2025-04,47.9,6374.31,305413.25
Managed Services,Rest of GCC,2025-05,50.9,6364.36,323848.0
Managed Services,Rest of GCC,2025-06,52.7,6383.64,336431.27
Managed Services,Rest of GCC,2025-07,56.1,6399.34,358758.2
Managed Services,Rest of GCC,2025-08,58.8,6420.27,377354.61
Managed Services,Rest of GCC,2025-09,60.0,6424.81,385433.02
Managed Services,Rest of GCC,2025-10,62.3,6405.55,398909.55
Managed Services,Rest of GCC,2025-11,60.9,6395.02,389542.12
Managed Services,Rest of GCC,2025-12,59.4,6413.55,381010.38
Managed Services,Rest of GCC,2026-01,60.4,6444.61,389102.79
Managed Services,Rest of GCC,2026-02,63.9,6432.31,411207.84
Managed Services,Rest of GCC,2026-03,65.6,6456.58,423513.14
Cloud & Infrastructure,UAE,2023-04,126.1,2591.71,326799.2
Cloud & Infrastructure,UAE,2023-05,127.4,2584.82,329298.58
Cloud & Infrastructure,UAE,2023-06,126.6,2578.82,326568.81
Cloud & Infrastructure,UAE,2023-07,127.0,2585.49,328239.49
Cloud & Infrastructure,UAE,2023-08,132.5,2592.25,343489.24
Cloud & Infrastructure,UAE,2023-09,137.6,2606.54,358654.81
Cloud & Infrastructure,UAE,2023-10,135.3,2607.19,352685.43
Cloud & Infrastructure,UAE,2023-11,141.3,2600.06,367416.21
Cloud & Infrastructure,UAE,2023-12,139.6,2592.58,361922.1
Cloud & Infrastructure,UAE,2024-01,147.7,2597.07,383566.48
Cloud & Infrastructure,UAE,2024-02,144.4,2599.42,375389.89
Cloud & Infrastructure,UAE,2024-03,140.5,2605.78,366111.38
Cloud & Infrastructure,UAE,2024-04,148.7,2608.86,387894.61
Cloud & Infrastructure,UAE,2024-05,144.8,2623.45,379806.53
Cloud & Infrastructure,UAE,2024-06,150.5,2618.46,394087.32
Cloud & Infrastructure,UAE,2024-07,149.4,2611.17,390154.11
Cloud & Infrastructure,UAE,2024-08,151.4,2618.03,396298.5
Cloud & Infrastructure,UAE,2024-09,153.1,2625.48,401884.58
Cloud & Infrastructure,UAE,2024-10,156.1,2636.07,411433.8
Cloud & Infrastructure,UAE,2024-11,156.4,2644.36,413644.54
Cloud & Infrastructure,UAE,2024-12,157.0,2660.01,417530.59
Cloud & Infrastructure,UAE,2025-01,161.1,2665.8,429409.17
Cloud & Infrastructure,UAE,2025-02,158.1,2665.84,421459.54
Cloud & Infrastructure,UAE,2025-03,158.0,2677.73,423203.79
Cloud & Infrastructure,UAE,2025-04,160.0,2691.42,430702.29
Cloud & Infrastructure,UAE,2025-05,161.4,2698.41,435390.54
Cloud & Infrastructure,UAE,2025-06,166.9,2693.42,449524.1
Cloud & Infrastructure,UAE,2025-07,165.0,2695.75,444898.94
Cloud & Infrastructure,UAE,2025-08,165.6,2700.76,447309.63
Cloud & Infrastructure,UAE,2025-09,163.0,2711.31,441876.54
Cloud & Infrastructure,UAE,2025-10,160.5,2710.7,435096.8
Cloud & Infrastructure,UAE,2025-11,170.3,2708.08,461131.68
Cloud & Infrastructure,UAE,2025-12,174.2,2718.62,473615.47
Cloud & Infrastructure,UAE,2026-01,174.6,2711.58,473414.59
Cloud & Infrastructure,UAE,2026-02,185.0,2709.78,501322.61
Cloud & Infrastructure,UAE,2026-03,186.7,2704.23,504913.07
Cloud & Infrastructure,KSA,2023-04,137.2,2961.71,406277.1
Cloud & Infrastructure,KSA,2023-05,143.5,2976.93,427099.91
Cloud & Infrastructure,KSA,2023-06,140.3,2989.0,419253.95
Cloud & Infrastructure,KSA,2023-07,147.5,2999.27,442404.91
Cloud & Infrastructure,KSA,2023-08,154.7,3002.39,464323.01
Cloud & Infrastructure,KSA,2023-09,163.3,3005.32,490752.66
Cloud & Infrastructure,KSA,2023-10,171.3,3011.44,515924.33
Cloud & Infrastructure,KSA,2023-11,179.5,3013.78,540888.73
Cloud & Infrastructure,KSA,2023-12,182.0,3027.36,551115.44
Cloud & Infrastructure,KSA,2024-01,191.7,3042.75,583236.22
Cloud & Infrastructure,KSA,2024-02,202.0,3048.22,615787.78
Cloud & Infrastructure,KSA,2024-03,203.7,3056.1,622632.96
Cloud & Infrastructure,KSA,2024-04,214.9,3049.3,655354.42
Cloud & Infrastructure,KSA,2024-05,215.7,3062.41,660712.6
Cloud & Infrastructure,KSA,2024-06,217.4,3070.89,667593.09
Cloud & Infrastructure,KSA,2024-07,229.7,3069.68,705215.75
Cloud & Infrastructure,KSA,2024-08,224.3,3072.84,689213.49
Cloud & Infrastructure,KSA,2024-09,221.9,3079.64,683428.39
Cloud & Infrastructure,KSA,2024-10,225.6,3095.14,698414.53
Cloud & Infrastructure,KSA,2024-11,222.9,3099.02,690651.79
Cloud & Infrastructure,KSA,2024-12,217.2,3094.19,672035.8
Cloud & Infrastructure,KSA,2025-01,221.6,3109.38,688954.86
Cloud & Infrastructure,KSA,2025-02,216.7,3120.78,676216.07
Cloud & Infrastructure,KSA,2025-03,216.8,3130.23,678487.62
Cloud & Infrastructure,KSA,2025-04,220.1,3124.99,687725.86
Cloud & Infrastructure,KSA,2025-05,230.9,3143.24,725709.1
Cloud & Infrastructure,KSA,2025-06,244.2,3146.22,768176.72
Cloud & Infrastructure,KSA,2025-07,236.7,3149.25,745320.19
Cloud & Infrastructure,KSA,2025-08,235.4,3153.47,742254.81
Cloud & Infrastructure,KSA,2025-09,240.4,3155.05,758559.72
Cloud & Infrastructure,KSA,2025-10,234.2,3160.04,740144.3
Cloud & Infrastructure,KSA,2025-11,236.2,3161.76,746885.14
Cloud & Infrastructure,KSA,2025-12,241.1,3180.33,766756.93
Cloud & Infrastructure,KSA,2026-01,253.1,3196.63,808955.53
Cloud & Infrastructure,KSA,2026-02,248.2,3188.48,791282.82
Cloud & Infrastructure,KSA,2026-03,262.1,3201.23,839000.71
Cloud & Infrastructure,India,2023-04,161.8,4766.64,771043.83
Cloud & Infrastructure,India,2023-05,172.3,4785.65,824393.89
Cloud & Infrastructure,India,2023-06,170.1,4786.98,814294.12
Cloud & Infrastructure,India,2023-07,180.0,4815.28,866840.6
Cloud & Infrastructure,India,2023-08,192.1,4807.52,923640.79
Cloud & Infrastructure,India,2023-09,192.0,4794.26,920634.69
Cloud & Infrastructure,India,2023-10,201.3,4799.63,966041.53
Cloud & Infrastructure,India,2023-11,205.9,4810.12,990433.44
Cloud & Infrastructure,India,2023-12,216.0,4800.67,1036736.59
Cloud & Infrastructure,India,2024-01,215.6,4816.76,1038260.18
Cloud & Infrastructure,India,2024-02,214.1,4835.93,1035427.56
Cloud & Infrastructure,India,2024-03,216.6,4821.72,1044301.41
Cloud & Infrastructure,India,2024-04,222.2,4838.67,1075325.29
Cloud & Infrastructure,India,2024-05,217.1,4862.15,1055434.34
Cloud & Infrastructure,India,2024-06,230.2,4883.06,1124250.62
Cloud & Infrastructure,India,2024-07,229.4,4897.12,1123178.89
Cloud & Infrastructure,India,2024-08,225.0,4924.46,1107895.29
Cloud & Infrastructure,India,2024-09,220.4,4949.66,1090747.16
Cloud & Infrastructure,India,2024-10,220.7,4971.39,1096946.68
Cloud & Infrastructure,India,2024-11,235.2,4993.25,1174499.0
Cloud & Infrastructure,India,2024-12,238.5,5007.67,1194183.14
Cloud & Infrastructure,India,2025-01,235.6,5015.88,1181948.17
Cloud & Infrastructure,India,2025-02,239.5,5043.1,1207847.13
Cloud & Infrastructure,India,2025-03,239.8,5068.37,1215272.88
Cloud & Infrastructure,India,2025-04,247.4,5092.35,1259870.34
Cloud & Infrastructure,India,2025-05,261.2,5113.86,1335990.74
Cloud & Infrastructure,India,2025-06,274.7,5099.79,1400845.7
Cloud & Infrastructure,India,2025-07,280.8,5086.49,1428372.92
Cloud & Infrastructure,India,2025-08,275.4,5094.06,1402910.39
Cloud & Infrastructure,India,2025-09,292.7,5083.33,1487639.66
Cloud & Infrastructure,India,2025-10,293.3,5079.04,1489568.52
Cloud & Infrastructure,India,2025-11,309.9,5065.24,1569482.87
Cloud & Infrastructure,India,2025-12,304.1,5062.71,1539436.03
Cloud & Infrastructure,India,2026-01,313.4,5080.76,1592548.3
Cloud & Infrastructure,India,2026-02,325.1,5110.87,1661521.82
Cloud & Infrastructure,India,2026-03,344.1,5108.59,1757667.53
Cloud & Infrastructure,UK,2023-04,63.4,3743.05,237162.39
Cloud & Infrastructure,UK,2023-05,63.9,3748.79,239470.71
Cloud & Infrastructure,UK,2023-06,66.3,3752.28,248676.0
Cloud & Infrastructure,UK,2023-07,69.8,3771.63,263259.74
Cloud & Infrastructure,UK,2023-08,73.6,3784.35,278613.92
Cloud & Infrastructure,UK,2023-09,77.0,3801.35,292842.42
Cloud & Infrastructure,UK,2023-10,80.2,3798.67,304577.7
Cloud & Infrastructure,UK,2023-11,80.8,3804.42,307343.63
Cloud & Infrastructure,UK,2023-12,81.8,3810.93,311724.86
Cloud & Infrastructure,UK,2024-01,81.8,3817.99,312262.85
Cloud & Infrastructure,UK,2024-02,83.3,3808.84,317416.27
Cloud & Infrastructure,UK,2024-03,82.4,3814.76,314383.94
Cloud & Infrastructure,UK,2024-04,86.9,3824.87,332203.03
Cloud & Infrastructure,UK,2024-05,86.5,3838.38,332124.04
Cloud & Infrastructure,UK,2024-06,89.0,3844.15,342109.29
Cloud & Infrastructure,UK,2024-07,88.0,3839.79,338018.4
Cloud & Infrastructure,UK,2024-08,87.8,3848.04,337705.05
Cloud & Infrastructure,UK,2024-09,86.1,3842.07,330729.07
Cloud & Infrastructure,UK,2024-10,85.4,3838.11,327768.05
Cloud & Infrastructure,UK,2024-11,89.9,3855.42,346602.07
Cloud & Infrastructure,UK,2024-12,91.8,3873.03,355565.7
Cloud & Infrastructure,UK,2025-01,97.1,3865.69,375179.01
Cloud & Infrastructure,UK,2025-02,99.5,3854.92,383397.21
Cloud & Infrastructure,UK,2025-03,101.0,3871.88,391028.6
Cloud & Infrastructure,UK,2025-04,100.3,3894.06,390389.12
Cloud & Infrastructure,UK,2025-05,103.6,3882.61,402382.27
Cloud & Infrastructure,UK,2025-06,107.7,3904.09,420356.21
Cloud & Infrastructure,UK,2025-07,107.3,3919.81,420765.98
Cloud & Infrastructure,UK,2025-08,108.6,3940.63,427944.23
Cloud & Infrastructure,UK,2025-09,110.5,3941.7,435525.34
Cloud & Infrastructure,UK,2025-10,115.9,3939.31,456541.25
Cloud & Infrastructure,UK,2025-11,120.6,3943.96,475526.22
Cloud & Infrastructure,UK,2025-12,125.0,3946.0,493305.52
Cloud & Infrastructure,UK,2026-01,125.1,3948.99,493898.12
Cloud & Infrastructure,UK,2026-02,128.5,3945.34,506825.79
Cloud & Infrastructure,UK,2026-03,126.0,3937.01,496186.5
Cloud & Infrastructure,USA,2023-04,80.5,5056.98,406900.67
Cloud & Infrastructure,USA,2023-05,83.8,5072.18,425098.17
Cloud & Infrastructure,USA,2023-06,84.7,5094.15,431619.97
Cloud & Infrastructure,USA,2023-07,89.4,5116.3,457254.26
Cloud & Infrastructure,USA,2023-08,92.5,5118.67,473691.57
Cloud & Infrastructure,USA,2023-09,97.0,5125.46,497257.01
Cloud & Infrastructure,USA,2023-10,97.6,5136.01,501202.91
Cloud & Infrastructure,USA,2023-11,95.8,5143.72,492650.24
Cloud & Infrastructure,USA,2023-12,99.3,5144.12,510961.47
Cloud & Infrastructure,USA,2024-01,102.1,5155.83,526617.05
Cloud & Infrastructure,USA,2024-02,102.0,5181.22,528309.48
Cloud & Infrastructure,USA,2024-03,107.5,5168.96,555675.41
Cloud & Infrastructure,USA,2024-04,107.8,5166.83,557173.3
Cloud & Infrastructure,USA,2024-05,110.7,5175.49,573009.79
Cloud & Infrastructure,USA,2024-06,112.7,5187.59,584778.56
Cloud & Infrastructure,USA,2024-07,114.5,5218.54,597452.66
Cloud & Infrastructure,USA,2024-08,115.9,5216.93,604788.68
Cloud & Infrastructure,USA,2024-09,115.4,5209.1,600932.54
Cloud & Infrastructure,USA,2024-10,116.4,5225.68,608412.67
Cloud & Infrastructure,USA,2024-11,118.8,5242.56,622836.91
Cloud & Infrastructure,USA,2024-12,119.7,5255.49,629175.69
Cloud & Infrastructure,USA,2025-01,122.6,5265.09,645534.56
Cloud & Infrastructure,USA,2025-02,127.7,5260.29,671578.67
Cloud & Infrastructure,USA,2025-03,130.0,5281.68,686366.45
Cloud & Infrastructure,USA,2025-04,129.3,5268.77,681330.05
Cloud & Infrastructure,USA,2025-05,134.9,5259.59,709265.18
Cloud & Infrastructure,USA,2025-06,135.9,5289.26,718800.19
Cloud & Infrastructure,USA,2025-07,134.3,5275.17,708580.36
Cloud & Infrastructure,USA,2025-08,132.3,5300.49,701147.01
Cloud & Infrastructure,USA,2025-09,131.4,5287.24,694775.39
Cloud & Infrastructure,USA,2025-10,128.5,5304.52,681793.2
Cloud & Infrastructure,USA,2025-11,136.4,5327.79,726524.04
Cloud & Infrastructure,USA,2025-12,135.2,5351.16,723705.74
Cloud & Infrastructure,USA,2026-01,142.2,5340.33,759500.09
Cloud & Infrastructure,USA,2026-02,139.4,5366.07,748063.74
Cloud & Infrastructure,USA,2026-03,138.6,5351.01,741437.7
Cloud & Infrastructure,Rest of GCC,2023-04,32.2,4007.29,129002.23
Cloud & Infrastructure,Rest of GCC,2023-05,31.6,4005.71,126580.33
Cloud & Infrastructure,Rest of GCC,2023-06,31.1,4007.85,124550.04
Cloud & Infrastructure,Rest of GCC,2023-07,31.1,4005.8,124575.34
Cloud & Infrastructure,Rest of GCC,2023-08,31.3,4010.27,125579.76
Cloud & Infrastructure,Rest of GCC,2023-09,31.1,4014.66,124771.17
Cloud & Infrastructure,Rest of GCC,2023-10,32.8,4010.24,131634.17
Cloud & Infrastructure,Rest of GCC,2023-11,32.0,4014.56,128627.54
Cloud & Infrastructure,Rest of GCC,2023-12,32.7,4022.26,131639.9
Cloud & Infrastructure,Rest of GCC,2024-01,33.7,4026.71,135551.8
Cloud & Infrastructure,Rest of GCC,2024-02,35.5,4038.43,143232.63
Cloud & Infrastructure,Rest of GCC,2024-03,35.4,4061.53,143952.98
Cloud & Infrastructure,Rest of GCC,2024-04,37.4,4082.75,152852.94
Cloud & Infrastructure,Rest of GCC,2024-05,37.8,4102.71,154944.83
Cloud & Infrastructure,Rest of GCC,2024-06,38.9,4097.91,159283.29
Cloud & Infrastructure,Rest of GCC,2024-07,40.7,4111.88,167165.52
Cloud & Infrastructure,Rest of GCC,2024-08,41.5,4125.84,171383.29
Cloud & Infrastructure,Rest of GCC,2024-09,43.1,4129.71,177917.8
Cloud & Infrastructure,Rest of GCC,2024-10,42.7,4134.56,176744.41
Cloud & Infrastructure,Rest of GCC,2024-11,43.5,4127.4,179615.86
Cloud & Infrastructure,Rest of GCC,2024-12,45.9,4129.4,189646.57
Cloud & Infrastructure,Rest of GCC,2025-01,44.7,4121.57,184300.82
Cloud & Infrastructure,Rest of GCC,2025-02,45.9,4130.83,189399.12
Cloud & Infrastructure,Rest of GCC,2025-03,44.9,4149.01,186344.06
Cloud & Infrastructure,Rest of GCC,2025-04,46.5,4141.38,192750.48
Cloud & Infrastructure,Rest of GCC,2025-05,48.8,4163.77,203039.76
Cloud & Infrastructure,Rest of GCC,2025-06,48.6,4168.92,202750.65
Cloud & Infrastructure,Rest of GCC,2025-07,50.3,4162.72,209219.57
Cloud & Infrastructure,Rest of GCC,2025-08,49.6,4180.26,207431.74
Cloud & Infrastructure,Rest of GCC,2025-09,51.2,4187.91,214389.42
Cloud & Infrastructure,Rest of GCC,2025-10,50.3,4195.15,210888.07
Cloud & Infrastructure,Rest of GCC,2025-11,50.4,4186.98,210977.64
Cloud & Infrastructure,Rest of GCC,2025-12,53.3,4191.66,223314.74
Cloud & Infrastructure,Rest of GCC,2026-01,53.8,4200.38,225780.35
Cloud & Infrastructure,Rest of GCC,2026-02,56.2,4221.29,237272.03
Cloud & Infrastructure,Rest of GCC,2026-03,54.7,4239.5,232076.94
Application Development,UAE,2023-04,76.6,4702.13,360411.19
