AdjID,Date,Description,TaxTreatment,AccountingAmount_AED,AdjustmentDirection
CT-9038,2025-01-20,Depreciation - Tax (per schedule),Deduct,27991.92,Deduct
CT-9039,2025-01-20,Exempt Dividend Income,Exempt Income,16159.17,Add
CT-9040,2025-01-27,Related Party Management Fee,Transfer Pricing Adj.,37834.41,Add
CT-9041,2025-01-02,Depreciation - Tax (per schedule),Deduct,39504.66,Deduct
CT-9042,2025-01-20,Bad Debts Written Off (realized),Deduct,18649.79,Deduct
CT-9043,2025-01-05,Depreciation - Accounting,Add Back,6698.57,Add
CT-9044,2025-01-01,Related Party Management Fee,Transfer Pricing Adj.,42641.07,Add
CT-9045,2025-01-15,Depreciation - Accounting,Add Back,42749.82,Add
CT-9046,2025-01-14,Related Party Management Fee,Transfer Pricing Adj.,30963.66,Add
CT-9047,2025-01-07,Fines & Penalties,Fully Disallowed,22527.04,Add
CT-9048,2025-01-18,Related Party Management Fee,Transfer Pricing Adj.,52112.87,Add
CT-9049,2025-01-25,Depreciation - Accounting,Add Back,31700.27,Add
CT-9050,2025-01-20,Provision for Doubtful Debts (unrealized),Add Back,41720.51,Add
CT-9051,2025-01-04,Depreciation - Tax (per schedule),Deduct,14484.2,Deduct
CT-9052,2025-01-10,Provision for Doubtful Debts (unrealized),Add Back,63887.3,Add
CT-9053,2025-01-21,Bad Debts Written Off (realized),Deduct,10742.43,Deduct
CT-9054,2025-01-10,Provision for Doubtful Debts (unrealized),Add Back,9710.28,Add
CT-9055,2025-01-17,Related Party Management Fee,Transfer Pricing Adj.,48861.29,Add
CT-9056,2025-01-01,Depreciation - Tax (per schedule),Deduct,40232.95,Deduct
CT-9057,2025-01-22,Fines & Penalties,Fully Disallowed,65744.79,Add
CT-9058,2025-01-26,Provision for Doubtful Debts (unrealized),Add Back,10110.23,Add
CT-9059,2025-01-03,Bad Debts Written Off (realized),Deduct,65161.44,Deduct
CT-9060,2025-01-13,Client Entertainment,Disallowed 50%,51943.91,Add
CT-9061,2025-01-18,Fines & Penalties,Fully Disallowed,52620.42,Add
CT-9062,2025-01-25,Provision for Doubtful Debts (unrealized),Add Back,30453.19,Add
CT-9063,2025-01-17,Donations - Non Qualifying,Fully Disallowed,22011.36,Add
CT-9064,2025-01-13,Fines & Penalties,Fully Disallowed,19459.54,Add
CT-9065,2025-01-21,Exempt Dividend Income,Exempt Income,41033.99,Add
CT-9066,2025-01-21,Related Party Management Fee,Transfer Pricing Adj.,28968.77,Add
CT-9067,2025-01-12,Entertainment Expense,Disallowed 50%,9808.24,Add
CT-9068,2025-01-16,Provision for Doubtful Debts (unrealized),Add Back,11967.19,Add
CT-9069,2025-01-22,UAE Government Grant Income,Exempt Income,34156.25,Add
CT-9070,2025-01-03,Depreciation - Accounting,Add Back,4479.55,Add
CT-9071,2025-01-16,Depreciation - Tax (per schedule),Deduct,56153.68,Deduct
CT-9072,2025-01-23,Fines & Penalties,Fully Disallowed,15217.74,Add
CT-9073,2025-01-09,Fines & Penalties,Fully Disallowed,22932.24,Add
CT-9074,2025-01-11,Fines & Penalties,Fully Disallowed,65408.09,Add
CT-9075,2025-01-24,Fines & Penalties,Fully Disallowed,24214.48,Add
CT-9076,2025-01-01,Provision for Doubtful Debts (unrealized),Add Back,56770.96,Add
CT-9077,2025-01-27,Exempt Dividend Income,Exempt Income,22848.43,Add
CT-9078,2025-01-10,Exempt Dividend Income,Exempt Income,57206.1,Add
CT-9079,2025-01-03,Interest Income - Related Party,Related Party Adj.,27466.85,Deduct
CT-9080,2025-01-12,Bad Debts Written Off (realized),Deduct,13453.56,Deduct
CT-9081,2025-01-05,Entertainment Expense,Disallowed 50%,24075.37,Add
CT-9082,2025-01-24,Entertainment Expense,Disallowed 50%,43124.84,Add
CT-9083,2025-01-25,Donations - Non Qualifying,Fully Disallowed,23475.45,Add
CT-9084,2025-01-04,Client Entertainment,Disallowed 50%,14029.78,Add
CT-9085,2025-01-14,Exempt Dividend Income,Exempt Income,19600.97,Add
CT-9086,2025-01-27,Entertainment Expense,Disallowed 50%,23404.24,Add
CT-9087,2025-01-22,Interest Income - Related Party,Related Party Adj.,16790.71,Deduct
CT-9088,2025-01-05,Fines & Penalties,Fully Disallowed,17606.33,Add
CT-9089,2025-01-04,UAE Government Grant Income,Exempt Income,49235.59,Add
CT-9090,2025-01-05,Entertainment Expense,Disallowed 50%,41701.35,Add
CT-9091,2025-01-09,Interest Income - Related Party,Related Party Adj.,19512.69,Deduct
CT-9092,2025-01-04,UAE Government Grant Income,Exempt Income,16543.68,Add
CT-9093,2025-01-21,Depreciation - Accounting,Add Back,61933.43,Add
CT-9094,2025-01-01,Client Entertainment,Disallowed 50%,20188.99,Add
CT-9095,2025-02-16,Exempt Dividend Income,Exempt Income,63094.82,Add
CT-9096,2025-02-23,Exempt Dividend Income,Exempt Income,16292.63,Add
CT-9097,2025-02-21,Donations - Non Qualifying,Fully Disallowed,46780.78,Add
CT-9098,2025-02-16,Bad Debts Written Off (realized),Deduct,59750.73,Deduct
CT-9099,2025-02-05,Interest Income - Related Party,Related Party Adj.,52176.93,Deduct
CT-9100,2025-02-02,UAE Government Grant Income,Exempt Income,59612.41,Add
CT-9101,2025-02-04,Fines & Penalties,Fully Disallowed,7928.48,Add
CT-9102,2025-02-05,Provision for Doubtful Debts (unrealized),Add Back,63382.25,Add
CT-9103,2025-02-16,Donations - Non Qualifying,Fully Disallowed,7666.51,Add
CT-9104,2025-02-28,Interest Income - Related Party,Related Party Adj.,64031.44,Deduct
CT-9105,2025-02-17,Related Party Management Fee,Transfer Pricing Adj.,61429.89,Add
CT-9106,2025-02-21,Client Entertainment,Disallowed 50%,34899.51,Add
CT-9107,2025-02-26,Entertainment Expense,Disallowed 50%,65347.59,Add
CT-9108,2025-02-05,Related Party Management Fee,Transfer Pricing Adj.,39196.33,Add
CT-9109,2025-02-14,Depreciation - Accounting,Add Back,12314.55,Add
CT-9110,2025-02-17,Depreciation - Tax (per schedule),Deduct,67559.74,Deduct
CT-9111,2025-02-14,Interest Income - Related Party,Related Party Adj.,51695.57,Deduct
CT-9112,2025-02-12,Donations - Non Qualifying,Fully Disallowed,46672.3,Add
CT-9113,2025-02-10,Exempt Dividend Income,Exempt Income,32985.85,Add
CT-9114,2025-02-14,Depreciation - Tax (per schedule),Deduct,59144.98,Deduct
CT-9115,2025-02-10,Donations - Non Qualifying,Fully Disallowed,52521.77,Add
CT-9116,2025-02-18,Exempt Dividend Income,Exempt Income,36258.12,Add
CT-9117,2025-02-25,Fines & Penalties,Fully Disallowed,14495.54,Add
CT-9118,2025-02-05,Bad Debts Written Off (realized),Deduct,56293.67,Deduct
CT-9119,2025-02-24,Depreciation - Tax (per schedule),Deduct,22169.29,Deduct
CT-9120,2025-02-11,Fines & Penalties,Fully Disallowed,10029.39,Add
CT-9121,2025-02-03,Donations - Non Qualifying,Fully Disallowed,23241.22,Add
CT-9122,2025-02-22,Bad Debts Written Off (realized),Deduct,66004.82,Deduct
CT-9123,2025-02-18,Exempt Dividend Income,Exempt Income,51855.6,Add
CT-9124,2025-02-08,Entertainment Expense,Disallowed 50%,23519.39,Add
CT-9125,2025-02-08,Depreciation - Accounting,Add Back,23871.23,Add
CT-9126,2025-02-06,Exempt Dividend Income,Exempt Income,50458.41,Add
CT-9127,2025-02-06,Exempt Dividend Income,Exempt Income,65485.19,Add
CT-9128,2025-02-15,Entertainment Expense,Disallowed 50%,67136.26,Add
CT-9129,2025-02-13,Provision for Doubtful Debts (unrealized),Add Back,32942.21,Add
CT-9130,2025-02-18,Provision for Doubtful Debts (unrealized),Add Back,48621.32,Add
CT-9131,2025-02-16,Fines & Penalties,Fully Disallowed,37432.32,Add
CT-9132,2025-02-23,Depreciation - Accounting,Add Back,22843.37,Add
CT-9133,2025-02-24,Exempt Dividend Income,Exempt Income,31208.62,Add
CT-9134,2025-02-21,Related Party Management Fee,Transfer Pricing Adj.,10103.9,Add
CT-9135,2025-02-03,Bad Debts Written Off (realized),Deduct,22341.5,Deduct
CT-9136,2025-02-07,Related Party Management Fee,Transfer Pricing Adj.,57493.26,Add
CT-9137,2025-02-18,UAE Government Grant Income,Exempt Income,62101.83,Add
CT-9138,2025-02-04,Depreciation - Tax (per schedule),Deduct,41677.79,Deduct
CT-9139,2025-02-23,Depreciation - Tax (per schedule),Deduct,53179.52,Deduct
CT-9140,2025-02-04,Fines & Penalties,Fully Disallowed,27842.81,Add
CT-9141,2025-02-16,Related Party Management Fee,Transfer Pricing Adj.,45046.84,Add
CT-9142,2025-02-03,Depreciation - Accounting,Add Back,48839.51,Add
CT-9143,2025-02-09,Depreciation - Accounting,Add Back,54058.43,Add
CT-9144,2025-02-27,Donations - Non Qualifying,Fully Disallowed,1752.21,Add
CT-9145,2025-02-13,Client Entertainment,Disallowed 50%,2512.48,Add
CT-9146,2025-02-10,Client Entertainment,Disallowed 50%,19944.64,Add
CT-9147,2025-02-26,Depreciation - Tax (per schedule),Deduct,10965.39,Deduct
CT-9148,2025-02-10,Interest Income - Related Party,Related Party Adj.,26899.76,Deduct
CT-9149,2025-02-10,Depreciation - Tax (per schedule),Deduct,48570.52,Deduct
CT-9150,2025-02-07,Depreciation - Accounting,Add Back,63449.64,Add
CT-9151,2025-02-20,Client Entertainment,Disallowed 50%,41078.09,Add
CT-9152,2025-02-04,Bad Debts Written Off (realized),Deduct,7929.53,Deduct
CT-9153,2025-02-08,Related Party Management Fee,Transfer Pricing Adj.,58111.0,Add
CT-9154,2025-02-09,Donations - Non Qualifying,Fully Disallowed,55942.74,Add
CT-9155,2025-02-06,Interest Income - Related Party,Related Party Adj.,63533.65,Deduct
CT-9156,2025-02-20,Interest Income - Related Party,Related Party Adj.,30237.05,Deduct
CT-9157,2025-02-01,Bad Debts Written Off (realized),Deduct,3394.61,Deduct
CT-9158,2025-02-26,Entertainment Expense,Disallowed 50%,51129.73,Add
CT-9159,2025-02-10,Related Party Management Fee,Transfer Pricing Adj.,21619.21,Add
CT-9160,2025-02-16,Depreciation - Accounting,Add Back,41383.74,Add
CT-9161,2025-02-18,Depreciation - Tax (per schedule),Deduct,50636.38,Deduct
CT-9162,2025-02-18,UAE Government Grant Income,Exempt Income,25170.33,Add
CT-9163,2025-02-03,UAE Government Grant Income,Exempt Income,28988.16,Add
CT-9164,2025-02-17,UAE Government Grant Income,Exempt Income,36790.42,Add
CT-9165,2025-02-16,Client Entertainment,Disallowed 50%,57218.32,Add
CT-9166,2025-02-23,Exempt Dividend Income,Exempt Income,28330.82,Add
CT-9167,2025-02-19,Fines & Penalties,Fully Disallowed,9187.64,Add
CT-9168,2025-02-20,Interest Income - Related Party,Related Party Adj.,11704.18,Deduct
CT-9169,2025-02-14,Depreciation - Accounting,Add Back,15953.8,Add
CT-9170,2025-02-16,Donations - Non Qualifying,Fully Disallowed,35745.44,Add
CT-9171,2025-02-02,Depreciation - Accounting,Add Back,40294.2,Add
CT-9172,2025-02-06,Donations - Non Qualifying,Fully Disallowed,15756.69,Add
CT-9173,2025-02-28,Fines & Penalties,Fully Disallowed,13883.41,Add
CT-9174,2025-02-18,Interest Income - Related Party,Related Party Adj.,22879.29,Deduct
CT-9175,2025-02-15,Entertainment Expense,Disallowed 50%,63303.7,Add
CT-9176,2025-02-07,Entertainment Expense,Disallowed 50%,20774.21,Add
CT-9177,2025-02-10,Related Party Management Fee,Transfer Pricing Adj.,9324.35,Add
CT-9178,2025-02-24,UAE Government Grant Income,Exempt Income,64129.76,Add
CT-9179,2025-02-13,Exempt Dividend Income,Exempt Income,16019.83,Add
CT-9180,2025-02-15,Exempt Dividend Income,Exempt Income,32311.02,Add
CT-9181,2025-02-16,Bad Debts Written Off (realized),Deduct,49583.3,Deduct
CT-9182,2025-02-01,Depreciation - Accounting,Add Back,1924.12,Add
CT-9183,2025-02-14,Donations - Non Qualifying,Fully Disallowed,28278.84,Add
CT-9184,2025-02-01,Depreciation - Tax (per schedule),Deduct,28247.41,Deduct
CT-9185,2025-02-13,Related Party Management Fee,Transfer Pricing Adj.,65804.11,Add
CT-9186,2025-02-28,UAE Government Grant Income,Exempt Income,10760.11,Add
CT-9187,2025-02-04,Exempt Dividend Income,Exempt Income,58191.24,Add
CT-9188,2025-02-21,Fines & Penalties,Fully Disallowed,53865.0,Add
CT-9189,2025-02-19,Exempt Dividend Income,Exempt Income,9949.43,Add
CT-9190,2025-02-17,Donations - Non Qualifying,Fully Disallowed,58604.71,Add
CT-9191,2025-03-18,Exempt Dividend Income,Exempt Income,12474.7,Add
CT-9192,2025-03-05,Depreciation - Accounting,Add Back,52210.08,Add
CT-9193,2025-03-26,Provision for Doubtful Debts (unrealized),Add Back,18884.96,Add
CT-9194,2025-03-07,Donations - Non Qualifying,Fully Disallowed,41313.33,Add
CT-9195,2025-03-24,Entertainment Expense,Disallowed 50%,61769.64,Add
CT-9196,2025-03-27,Depreciation - Tax (per schedule),Deduct,44315.82,Deduct
CT-9197,2025-03-22,Provision for Doubtful Debts (unrealized),Add Back,39399.69,Add
CT-9198,2025-03-13,Entertainment Expense,Disallowed 50%,61358.91,Add
CT-9199,2025-03-02,Related Party Management Fee,Transfer Pricing Adj.,65780.39,Add
CT-9200,2025-03-08,Depreciation - Accounting,Add Back,37614.86,Add
CT-9201,2025-03-09,Client Entertainment,Disallowed 50%,13583.3,Add
CT-9202,2025-03-07,Related Party Management Fee,Transfer Pricing Adj.,62290.7,Add
CT-9203,2025-03-24,Depreciation - Tax (per schedule),Deduct,36149.9,Deduct
CT-9204,2025-03-18,Depreciation - Accounting,Add Back,39955.49,Add
CT-9205,2025-03-17,Client Entertainment,Disallowed 50%,8978.93,Add
CT-9206,2025-03-28,Related Party Management Fee,Transfer Pricing Adj.,22067.58,Add
CT-9207,2025-03-05,Provision for Doubtful Debts (unrealized),Add Back,24873.7,Add
CT-9208,2025-03-01,Depreciation - Accounting,Add Back,13557.49,Add
CT-9209,2025-03-15,Provision for Doubtful Debts (unrealized),Add Back,51332.54,Add
CT-9210,2025-03-16,Exempt Dividend Income,Exempt Income,46866.92,Add
CT-9211,2025-03-18,UAE Government Grant Income,Exempt Income,2761.98,Add
CT-9212,2025-03-08,UAE Government Grant Income,Exempt Income,49768.22,Add
CT-9213,2025-03-17,Provision for Doubtful Debts (unrealized),Add Back,18285.95,Add
CT-9214,2025-03-14,Client Entertainment,Disallowed 50%,7030.37,Add
CT-9215,2025-03-12,UAE Government Grant Income,Exempt Income,23980.36,Add
CT-9216,2025-03-27,Depreciation - Tax (per schedule),Deduct,50584.52,Deduct
CT-9217,2025-03-23,Exempt Dividend Income,Exempt Income,55131.62,Add
CT-9218,2025-03-09,Depreciation - Tax (per schedule),Deduct,39585.62,Deduct
CT-9219,2025-03-08,Fines & Penalties,Fully Disallowed,6371.22,Add
CT-9220,2025-03-07,Bad Debts Written Off (realized),Deduct,39658.25,Deduct
CT-9221,2025-03-28,Client Entertainment,Disallowed 50%,15370.16,Add
CT-9222,2025-03-23,Provision for Doubtful Debts (unrealized),Add Back,14362.51,Add
CT-9223,2025-03-16,Provision for Doubtful Debts (unrealized),Add Back,23874.18,Add
CT-9224,2025-03-15,Fines & Penalties,Fully Disallowed,34009.27,Add
CT-9225,2025-03-16,Provision for Doubtful Debts (unrealized),Add Back,36057.84,Add
CT-9226,2025-03-07,Bad Debts Written Off (realized),Deduct,25846.13,Deduct
CT-9227,2025-03-14,Depreciation - Tax (per schedule),Deduct,53922.81,Deduct
CT-9228,2025-03-25,Client Entertainment,Disallowed 50%,15373.14,Add
CT-9229,2025-03-09,Depreciation - Accounting,Add Back,7438.37,Add
CT-9230,2025-03-12,Interest Income - Related Party,Related Party Adj.,6352.75,Deduct
CT-9231,2025-03-18,Donations - Non Qualifying,Fully Disallowed,52999.58,Add
CT-9232,2025-03-21,Entertainment Expense,Disallowed 50%,65335.55,Add
CT-9233,2025-03-06,Exempt Dividend Income,Exempt Income,54663.25,Add
CT-9234,2025-03-28,Provision for Doubtful Debts (unrealized),Add Back,53810.42,Add
CT-9235,2025-03-20,Fines & Penalties,Fully Disallowed,14267.24,Add
CT-9236,2025-03-26,Interest Income - Related Party,Related Party Adj.,2363.57,Deduct
CT-9237,2025-03-04,Bad Debts Written Off (realized),Deduct,57993.4,Deduct
CT-9238,2025-03-02,Depreciation - Tax (per schedule),Deduct,59081.45,Deduct
CT-9239,2025-03-08,Client Entertainment,Disallowed 50%,6487.23,Add
CT-9240,2025-03-10,Interest Income - Related Party,Related Party Adj.,8566.44,Deduct
CT-9241,2025-03-10,Exempt Dividend Income,Exempt Income,65806.66,Add
CT-9242,2025-03-07,Depreciation - Accounting,Add Back,13698.01,Add
CT-9243,2025-03-16,Provision for Doubtful Debts (unrealized),Add Back,66126.04,Add
CT-9244,2025-03-03,Interest Income - Related Party,Related Party Adj.,11892.88,Deduct
CT-9245,2025-03-20,Depreciation - Accounting,Add Back,67522.72,Add
CT-9246,2025-03-28,Entertainment Expense,Disallowed 50%,7287.56,Add
CT-9247,2025-03-13,UAE Government Grant Income,Exempt Income,36384.2,Add
CT-9248,2025-03-13,Client Entertainment,Disallowed 50%,54715.16,Add
CT-9249,2025-03-23,Depreciation - Accounting,Add Back,56396.98,Add
CT-9250,2025-03-27,Interest Income - Related Party,Related Party Adj.,2733.45,Deduct
CT-9251,2025-03-22,Related Party Management Fee,Transfer Pricing Adj.,66721.23,Add
CT-9252,2025-03-03,Interest Income - Related Party,Related Party Adj.,39450.67,Deduct
CT-9253,2025-03-16,Depreciation - Tax (per schedule),Deduct,66752.52,Deduct
CT-9254,2025-03-01,Donations - Non Qualifying,Fully Disallowed,36765.99,Add
CT-9255,2025-03-19,Provision for Doubtful Debts (unrealized),Add Back,31703.59,Add
CT-9256,2025-03-08,Provision for Doubtful Debts (unrealized),Add Back,32209.03,Add
CT-9257,2025-03-02,Provision for Doubtful Debts (unrealized),Add Back,31564.02,Add
CT-9258,2025-03-04,Interest Income - Related Party,Related Party Adj.,46426.37,Deduct
CT-9259,2025-03-25,Entertainment Expense,Disallowed 50%,54764.07,Add
CT-9260,2025-03-14,Donations - Non Qualifying,Fully Disallowed,31961.6,Add
CT-9261,2025-03-06,Depreciation - Accounting,Add Back,16377.45,Add
CT-9262,2025-03-26,Entertainment Expense,Disallowed 50%,25694.92,Add
CT-9263,2025-03-15,Provision for Doubtful Debts (unrealized),Add Back,39246.32,Add
CT-9264,2025-03-12,Fines & Penalties,Fully Disallowed,61071.04,Add
CT-9265,2025-03-04,Interest Income - Related Party,Related Party Adj.,66947.89,Deduct
CT-9266,2025-03-21,Related Party Management Fee,Transfer Pricing Adj.,57642.64,Add
CT-9267,2025-03-22,Depreciation - Tax (per schedule),Deduct,25567.14,Deduct
CT-9268,2025-03-06,Bad Debts Written Off (realized),Deduct,42601.16,Deduct
CT-9269,2025-03-04,Bad Debts Written Off (realized),Deduct,32549.19,Deduct
CT-9270,2025-03-10,Client Entertainment,Disallowed 50%,46805.82,Add
CT-9271,2025-03-27,Related Party Management Fee,Transfer Pricing Adj.,42635.34,Add
CT-9272,2025-03-07,Bad Debts Written Off (realized),Deduct,46449.17,Deduct
CT-9273,2025-03-24,Related Party Management Fee,Transfer Pricing Adj.,55256.9,Add
CT-9274,2025-03-19,Provision for Doubtful Debts (unrealized),Add Back,1806.06,Add
CT-9275,2025-03-14,Provision for Doubtful Debts (unrealized),Add Back,35280.43,Add
CT-9276,2025-03-18,Exempt Dividend Income,Exempt Income,38196.34,Add
CT-9277,2025-03-14,Related Party Management Fee,Transfer Pricing Adj.,47163.37,Add
CT-9278,2025-03-25,Client Entertainment,Disallowed 50%,3823.07,Add
CT-9279,2025-03-20,Exempt Dividend Income,Exempt Income,24310.99,Add
CT-9280,2025-03-12,Bad Debts Written Off (realized),Deduct,14831.03,Deduct
CT-9281,2025-04-16,Provision for Doubtful Debts (unrealized),Add Back,67089.62,Add
CT-9282,2025-04-07,Interest Income - Related Party,Related Party Adj.,21007.31,Deduct
CT-9283,2025-04-28,UAE Government Grant Income,Exempt Income,62401.08,Add
CT-9284,2025-04-16,Provision for Doubtful Debts (unrealized),Add Back,19708.14,Add
CT-9285,2025-04-07,Entertainment Expense,Disallowed 50%,12686.38,Add
CT-9286,2025-04-27,Fines & Penalties,Fully Disallowed,34085.15,Add
CT-9287,2025-04-26,Bad Debts Written Off (realized),Deduct,45247.22,Deduct
CT-9288,2025-04-26,Depreciation - Tax (per schedule),Deduct,41036.11,Deduct
CT-9289,2025-04-17,Depreciation - Accounting,Add Back,50400.9,Add
CT-9290,2025-04-13,Bad Debts Written Off (realized),Deduct,45112.21,Deduct
CT-9291,2025-04-27,Provision for Doubtful Debts (unrealized),Add Back,42664.86,Add
CT-9292,2025-04-15,Interest Income - Related Party,Related Party Adj.,43595.38,Deduct
CT-9293,2025-04-12,UAE Government Grant Income,Exempt Income,6707.4,Add
CT-9294,2025-04-08,Related Party Management Fee,Transfer Pricing Adj.,55308.38,Add
CT-9295,2025-04-09,Depreciation - Accounting,Add Back,58268.97,Add
CT-9296,2025-04-23,Depreciation - Tax (per schedule),Deduct,44577.0,Deduct
CT-9297,2025-04-01,Related Party Management Fee,Transfer Pricing Adj.,10125.61,Add
CT-9298,2025-04-16,Depreciation - Tax (per schedule),Deduct,17548.95,Deduct
CT-9299,2025-04-01,Fines & Penalties,Fully Disallowed,41434.3,Add
CT-9300,2025-04-22,Exempt Dividend Income,Exempt Income,49710.84,Add
CT-9301,2025-04-13,UAE Government Grant Income,Exempt Income,36360.52,Add
CT-9302,2025-04-21,Depreciation - Tax (per schedule),Deduct,59919.92,Deduct
CT-9303,2025-04-01,Interest Income - Related Party,Related Party Adj.,18703.43,Deduct
CT-9304,2025-04-27,Donations - Non Qualifying,Fully Disallowed,30821.6,Add
CT-9305,2025-04-28,Depreciation - Tax (per schedule),Deduct,20097.24,Deduct
CT-9306,2025-04-16,Entertainment Expense,Disallowed 50%,52894.67,Add
CT-9307,2025-04-08,Exempt Dividend Income,Exempt Income,1984.88,Add
CT-9308,2025-04-24,Exempt Dividend Income,Exempt Income,15858.16,Add
CT-9309,2025-04-13,Exempt Dividend Income,Exempt Income,26229.59,Add
CT-9310,2025-04-24,Interest Income - Related Party,Related Party Adj.,14034.51,Deduct
CT-9311,2025-04-14,Interest Income - Related Party,Related Party Adj.,9537.56,Deduct
CT-9312,2025-04-24,Interest Income - Related Party,Related Party Adj.,26755.03,Deduct
CT-9313,2025-04-09,Exempt Dividend Income,Exempt Income,4352.81,Add
CT-9314,2025-04-15,Entertainment Expense,Disallowed 50%,33068.79,Add
CT-9315,2025-04-26,Donations - Non Qualifying,Fully Disallowed,5181.61,Add
CT-9316,2025-04-01,Depreciation - Accounting,Add Back,7309.51,Add
CT-9317,2025-04-07,UAE Government Grant Income,Exempt Income,60014.1,Add
CT-9318,2025-04-23,Fines & Penalties,Fully Disallowed,55418.06,Add
CT-9319,2025-04-11,Depreciation - Accounting,Add Back,57255.66,Add
CT-9320,2025-04-24,Client Entertainment,Disallowed 50%,4551.66,Add
CT-9321,2025-04-17,Fines & Penalties,Fully Disallowed,28606.15,Add
CT-9322,2025-04-15,Donations - Non Qualifying,Fully Disallowed,59311.73,Add
CT-9323,2025-04-07,Related Party Management Fee,Transfer Pricing Adj.,40164.82,Add
CT-9324,2025-04-13,Donations - Non Qualifying,Fully Disallowed,60741.7,Add
CT-9325,2025-04-14,Bad Debts Written Off (realized),Deduct,20195.32,Deduct
CT-9326,2025-04-26,Depreciation - Accounting,Add Back,47495.19,Add
CT-9327,2025-04-24,Provision for Doubtful Debts (unrealized),Add Back,58940.64,Add
CT-9328,2025-04-28,Entertainment Expense,Disallowed 50%,17968.06,Add
CT-9329,2025-04-07,Fines & Penalties,Fully Disallowed,61578.03,Add
CT-9330,2025-04-09,Interest Income - Related Party,Related Party Adj.,42685.52,Deduct
CT-9331,2025-04-05,Client Entertainment,Disallowed 50%,23822.34,Add
CT-9332,2025-04-25,Entertainment Expense,Disallowed 50%,48629.36,Add
CT-9333,2025-04-27,Interest Income - Related Party,Related Party Adj.,20364.53,Deduct
CT-9334,2025-04-03,Client Entertainment,Disallowed 50%,5049.26,Add
CT-9335,2025-04-16,Entertainment Expense,Disallowed 50%,13406.11,Add
CT-9336,2025-04-26,Provision for Doubtful Debts (unrealized),Add Back,4487.22,Add
CT-9337,2025-04-28,Exempt Dividend Income,Exempt Income,8826.64,Add
CT-9338,2025-04-13,Interest Income - Related Party,Related Party Adj.,23305.21,Deduct
CT-9339,2025-04-09,Depreciation - Accounting,Add Back,66454.09,Add
CT-9340,2025-04-16,Interest Income - Related Party,Related Party Adj.,60096.62,Deduct
