BU,Region,Month,FY,Revenue_Budget,Revenue_Actual,DirectCost_Budget,DirectCost_Actual,Salaries_Budget,Salaries_Actual,Marketing_Budget,Marketing_Actual,Travel_Budget,Travel_Actual,ITSoftware_Budget,ITSoftware_Actual,Facilities_Budget,Facilities_Actual,ProfFees_Budget,ProfFees_Actual,DA_Budget,DA_Actual
Banking & Financial Services,UAE,2024-02,FY23,461465.0,484829.0,260339.0,272048.0,76534.0,76331.0,10546.0,10383.0,5055.0,4748.0,9459.0,10274.0,7173.0,7432.0,4293.0,3565.0,13841.0,14120.0
Banking & Financial Services,UAE,2024-03,FY23,545415.0,518868.0,322298.0,300548.0,84304.0,83757.0,14189.0,12310.0,5810.0,7510.0,11264.0,11953.0,8530.0,8464.0,6405.0,8949.0,13940.0,14123.0
Banking & Financial Services,UAE,2024-04,FY24,483924.0,496025.0,289446.0,301128.0,75621.0,79574.0,10093.0,10348.0,5575.0,6837.0,9472.0,10352.0,6117.0,5925.0,4631.0,5581.0,10817.0,10570.0
Banking & Financial Services,UAE,2024-05,FY24,492879.0,508361.0,283736.0,298225.0,75202.0,77774.0,13723.0,15513.0,4648.0,5383.0,10048.0,9960.0,8563.0,8392.0,3892.0,4869.0,10215.0,10189.0
Banking & Financial Services,UAE,2024-06,FY24,554371.0,523223.0,301797.0,279952.0,82023.0,87983.0,18412.0,20507.0,5869.0,5158.0,14601.0,15282.0,9365.0,9821.0,5501.0,4427.0,15617.0,15429.0
Banking & Financial Services,UAE,2024-07,FY24,559435.0,531443.0,306603.0,283700.0,80117.0,82589.0,13474.0,13898.0,7286.0,6571.0,13618.0,13176.0,8900.0,9261.0,6197.0,5301.0,13558.0,13376.0
Banking & Financial Services,UAE,2024-08,FY24,542739.0,525638.0,313826.0,300310.0,88052.0,90754.0,14337.0,12228.0,4628.0,5746.0,14675.0,14942.0,10137.0,10221.0,3739.0,3277.0,12528.0,12828.0
Banking & Financial Services,UAE,2024-09,FY24,582907.0,558723.0,346209.0,326540.0,85971.0,84364.0,18479.0,20609.0,6321.0,7018.0,11393.0,12389.0,11027.0,11552.0,6333.0,8416.0,11803.0,11971.0
Banking & Financial Services,UAE,2024-10,FY24,565781.0,537969.0,332755.0,328881.0,92971.0,92910.0,17998.0,15882.0,7980.0,9810.0,11443.0,12210.0,8873.0,8700.0,6095.0,5708.0,11450.0,11239.0
Banking & Financial Services,UAE,2024-11,FY24,562717.0,539144.0,336512.0,319157.0,89610.0,90861.0,19536.0,19748.0,8201.0,7034.0,15590.0,14844.0,11086.0,10826.0,3742.0,3969.0,15354.0,15182.0
Banking & Financial Services,UAE,2024-12,FY24,569556.0,568776.0,320724.0,325306.0,84090.0,88123.0,11406.0,12862.0,6703.0,7774.0,14478.0,15067.0,8494.0,8129.0,5687.0,5676.0,13179.0,13454.0
Banking & Financial Services,UAE,2025-01,FY24,542869.0,556196.0,303223.0,310901.0,82555.0,82763.0,11894.0,11610.0,7916.0,9014.0,14673.0,15125.0,7821.0,7858.0,3259.0,3168.0,13191.0,13254.0
Banking & Financial Services,UAE,2025-02,FY24,562367.0,564740.0,318598.0,314681.0,86715.0,92710.0,17962.0,16182.0,4833.0,5112.0,13682.0,13413.0,10430.0,10692.0,5644.0,5276.0,12367.0,12014.0
Banking & Financial Services,UAE,2025-03,FY24,585452.0,587204.0,345993.0,337422.0,89242.0,92747.0,13417.0,14207.0,6710.0,6187.0,14379.0,13243.0,10543.0,10828.0,3887.0,4101.0,12739.0,13089.0
Banking & Financial Services,UAE,2025-04,FY25,538877.0,569622.0,299051.0,328882.0,82822.0,87639.0,16174.0,18541.0,6557.0,8360.0,14503.0,14942.0,9567.0,9572.0,5919.0,6681.0,15612.0,15840.0
Banking & Financial Services,UAE,2025-05,FY25,557638.0,574232.0,309397.0,325427.0,90881.0,93366.0,16395.0,15286.0,4764.0,4492.0,11553.0,11294.0,9101.0,8772.0,4120.0,5011.0,15092.0,14697.0
Banking & Financial Services,UAE,2025-06,FY25,580276.0,577324.0,327825.0,320581.0,88553.0,94710.0,16689.0,17668.0,8122.0,9607.0,12652.0,11653.0,8596.0,8814.0,6453.0,8854.0,14037.0,14245.0
Banking & Financial Services,UAE,2025-07,FY25,590894.0,583662.0,326902.0,317631.0,90451.0,88026.0,14797.0,15592.0,6400.0,5648.0,13398.0,12634.0,10032.0,9557.0,4942.0,5627.0,11978.0,12081.0
Banking & Financial Services,UAE,2025-08,FY25,577731.0,580399.0,313718.0,314560.0,84551.0,85054.0,18151.0,17493.0,7663.0,9318.0,11857.0,11083.0,7022.0,7050.0,6932.0,7001.0,15311.0,15569.0
Banking & Financial Services,UAE,2025-09,FY25,632124.0,613410.0,377363.0,360038.0,88884.0,87707.0,13839.0,14543.0,7552.0,6865.0,15800.0,16717.0,8434.0,8524.0,6629.0,5759.0,17821.0,18318.0
Banking & Financial Services,UAE,2025-10,FY25,551981.0,585295.0,308401.0,335131.0,93144.0,94414.0,16960.0,14803.0,7084.0,7889.0,10498.0,11118.0,10379.0,10483.0,3713.0,5162.0,15360.0,15219.0
Banking & Financial Services,UAE,2025-11,FY25,579791.0,588938.0,330688.0,334175.0,95948.0,101749.0,12514.0,14244.0,7218.0,8765.0,14537.0,14514.0,10361.0,10843.0,4418.0,5677.0,14716.0,14701.0
Banking & Financial Services,UAE,2025-12,FY25,634193.0,617085.0,352677.0,357101.0,104592.0,102451.0,21071.0,19452.0,7137.0,7888.0,13819.0,12785.0,11928.0,11548.0,4612.0,5897.0,14842.0,15181.0
Banking & Financial Services,UAE,2026-01,FY25,586803.0,602992.0,317231.0,342507.0,83660.0,87777.0,16037.0,17279.0,7531.0,8457.0,13443.0,14286.0,7478.0,7270.0,5956.0,5859.0,15149.0,15125.0
Banking & Financial Services,UAE,2026-02,FY25,603796.0,609242.0,353073.0,354150.0,97263.0,97244.0,14353.0,12720.0,5644.0,4853.0,14104.0,14911.0,8140.0,7909.0,5377.0,6639.0,17973.0,18000.0
Banking & Financial Services,UAE,2026-03,FY25,604039.0,634453.0,333216.0,344521.0,87817.0,85319.0,16920.0,15774.0,8952.0,9638.0,15085.0,14221.0,11445.0,11435.0,6787.0,7767.0,14916.0,14863.0
Banking & Financial Services,KSA,2023-04,FY23,293048.0,293833.0,172701.0,173174.0,41678.0,43313.0,6097.0,5455.0,3499.0,3331.0,8188.0,7708.0,5309.0,5365.0,3149.0,2946.0,7392.0,7370.0
Banking & Financial Services,KSA,2023-05,FY23,307505.0,294765.0,184319.0,175288.0,48780.0,50588.0,9564.0,10848.0,2907.0,2632.0,7566.0,7175.0,4118.0,3943.0,1850.0,1980.0,7976.0,7876.0
Banking & Financial Services,KSA,2023-06,FY23,300476.0,293195.0,174931.0,171484.0,48263.0,51720.0,9560.0,9919.0,3794.0,4806.0,6686.0,6806.0,5163.0,5374.0,3293.0,2775.0,6508.0,6433.0
Banking & Financial Services,KSA,2023-07,FY23,300209.0,297736.0,167311.0,161830.0,48232.0,50497.0,10249.0,10250.0,3439.0,2890.0,5523.0,5511.0,4377.0,4268.0,1966.0,2707.0,8514.0,8552.0
Banking & Financial Services,KSA,2023-08,FY23,323034.0,304764.0,187469.0,174877.0,45615.0,48041.0,8740.0,9137.0,4656.0,4147.0,7705.0,7969.0,5147.0,4937.0,2613.0,2613.0,8625.0,8810.0
Banking & Financial Services,KSA,2023-09,FY23,324735.0,317359.0,180973.0,185513.0,53389.0,55018.0,8710.0,8225.0,3333.0,4283.0,7158.0,7248.0,6464.0,6566.0,3006.0,3150.0,7104.0,7045.0
Banking & Financial Services,KSA,2023-10,FY23,313804.0,309152.0,183763.0,178003.0,49103.0,52641.0,8338.0,8834.0,2777.0,3573.0,7559.0,7280.0,4163.0,4184.0,2923.0,2502.0,9390.0,9623.0
Banking & Financial Services,KSA,2023-11,FY23,296118.0,310365.0,174688.0,184620.0,47822.0,49064.0,7137.0,7854.0,4401.0,4057.0,6963.0,6887.0,5737.0,5742.0,3339.0,4402.0,6740.0,6857.0
Banking & Financial Services,KSA,2023-12,FY23,341199.0,324300.0,194642.0,191821.0,50663.0,50807.0,9828.0,11299.0,3899.0,3409.0,7979.0,7836.0,5601.0,5625.0,2979.0,2958.0,7468.0,7556.0
Banking & Financial Services,KSA,2024-01,FY23,303576.0,313603.0,178057.0,178351.0,49283.0,51628.0,9766.0,9432.0,3839.0,4647.0,8442.0,8519.0,3733.0,3734.0,2896.0,3828.0,8725.0,8694.0
Banking & Financial Services,KSA,2024-02,FY23,314016.0,315647.0,183180.0,184289.0,50131.0,49478.0,8492.0,9687.0,3256.0,3733.0,7693.0,8257.0,5909.0,6121.0,2600.0,2574.0,8537.0,8670.0
Banking & Financial Services,KSA,2024-03,FY23,317169.0,335875.0,172573.0,186633.0,53166.0,57404.0,9896.0,9700.0,2756.0,3078.0,8477.0,8476.0,5567.0,5792.0,1991.0,2544.0,7274.0,7219.0
Banking & Financial Services,KSA,2024-04,FY24,320469.0,319275.0,183935.0,189516.0,46500.0,45509.0,10596.0,10977.0,3104.0,3900.0,6227.0,6246.0,4497.0,4387.0,1941.0,2490.0,9297.0,9396.0
Banking & Financial Services,KSA,2024-05,FY24,314417.0,316631.0,176304.0,180515.0,50045.0,50879.0,7468.0,8242.0,2954.0,2931.0,7179.0,6911.0,5212.0,5251.0,3759.0,3673.0,9363.0,9452.0
Banking & Financial Services,KSA,2024-06,FY24,317989.0,315493.0,184799.0,188785.0,44986.0,46637.0,8729.0,9787.0,3181.0,3815.0,7654.0,7527.0,5435.0,5501.0,3201.0,3945.0,8456.0,8628.0
Banking & Financial Services,KSA,2024-07,FY24,334282.0,318847.0,193476.0,183091.0,51220.0,52949.0,10358.0,9084.0,3365.0,3950.0,6604.0,6233.0,5454.0,5711.0,3070.0,4139.0,9462.0,9324.0
Banking & Financial Services,KSA,2024-08,FY24,324050.0,324757.0,190668.0,196711.0,48660.0,47817.0,11161.0,9958.0,4785.0,5886.0,8180.0,8968.0,6396.0,6591.0,2655.0,3384.0,6526.0,6540.0
Banking & Financial Services,KSA,2024-09,FY24,346930.0,339881.0,201338.0,200383.0,57130.0,61325.0,7502.0,6903.0,2836.0,3523.0,8192.0,8886.0,4778.0,4569.0,3797.0,5109.0,7987.0,7943.0
Banking & Financial Services,KSA,2024-10,FY24,340303.0,323006.0,189978.0,181818.0,48635.0,51923.0,7499.0,7395.0,4320.0,5061.0,9345.0,9302.0,6104.0,5893.0,2889.0,2483.0,8471.0,8424.0
Banking & Financial Services,KSA,2024-11,FY24,312101.0,330641.0,175473.0,186614.0,52594.0,55965.0,6707.0,7081.0,3686.0,4751.0,6737.0,6681.0,4219.0,4060.0,3461.0,3713.0,8311.0,8382.0
Banking & Financial Services,KSA,2024-12,FY24,328024.0,348013.0,192618.0,201634.0,47163.0,48677.0,6898.0,7447.0,3100.0,2815.0,8757.0,8574.0,4323.0,4496.0,1974.0,2596.0,7035.0,6879.0
Banking & Financial Services,KSA,2025-01,FY24,319246.0,332223.0,185055.0,186361.0,44837.0,47388.0,7524.0,7126.0,2943.0,2432.0,8114.0,8233.0,5735.0,5721.0,3406.0,3774.0,6733.0,6735.0
Banking & Financial Services,KSA,2025-02,FY24,321363.0,339993.0,188638.0,207512.0,50018.0,51038.0,11074.0,9615.0,3648.0,3651.0,7989.0,8055.0,6195.0,5931.0,2084.0,2428.0,6638.0,6548.0
Banking & Financial Services,KSA,2025-03,FY24,360449.0,358369.0,201675.0,211166.0,56200.0,57319.0,10482.0,9222.0,4654.0,5708.0,8834.0,9350.0,6404.0,6222.0,3139.0,2942.0,8431.0,8407.0
Banking & Financial Services,KSA,2025-04,FY25,327661.0,344395.0,185327.0,199357.0,49552.0,48897.0,11090.0,9650.0,4529.0,3834.0,6214.0,6543.0,6060.0,6094.0,3119.0,3546.0,7633.0,7460.0
Banking & Financial Services,KSA,2025-05,FY25,351083.0,344253.0,205390.0,209451.0,56746.0,61088.0,10184.0,9731.0,4229.0,3833.0,8625.0,8283.0,4517.0,4673.0,2881.0,3623.0,9037.0,9204.0
Banking & Financial Services,KSA,2025-06,FY25,370899.0,350916.0,218499.0,210474.0,59077.0,57475.0,12587.0,13831.0,3662.0,3260.0,9282.0,9056.0,5459.0,5189.0,4161.0,4743.0,8904.0,8713.0
Banking & Financial Services,KSA,2025-07,FY25,334739.0,354717.0,195744.0,204148.0,51079.0,51462.0,8553.0,9122.0,4498.0,4875.0,6310.0,5865.0,4438.0,4490.0,3362.0,3238.0,8911.0,8903.0
Banking & Financial Services,KSA,2025-08,FY25,346146.0,355832.0,202598.0,203176.0,52925.0,52986.0,10446.0,10404.0,4386.0,3608.0,7599.0,7811.0,4175.0,4092.0,2516.0,2220.0,7807.0,7726.0
Banking & Financial Services,KSA,2025-09,FY25,376573.0,365732.0,207319.0,200989.0,60670.0,62189.0,12239.0,13363.0,3203.0,3943.0,6938.0,6406.0,7294.0,7558.0,3560.0,4073.0,10203.0,10153.0
Banking & Financial Services,KSA,2025-10,FY25,327262.0,347227.0,183099.0,201236.0,51885.0,55077.0,11060.0,9693.0,4553.0,4196.0,7818.0,7930.0,4963.0,4869.0,2630.0,2630.0,7095.0,7099.0
Banking & Financial Services,KSA,2025-11,FY25,344149.0,343738.0,204547.0,203432.0,55691.0,59037.0,11090.0,10213.0,3106.0,2791.0,8268.0,8738.0,5935.0,5743.0,3661.0,4014.0,9479.0,9627.0
Banking & Financial Services,KSA,2025-12,FY25,377967.0,359661.0,216904.0,210630.0,59997.0,63901.0,11115.0,9951.0,3204.0,3272.0,7948.0,7705.0,4705.0,4708.0,2972.0,3183.0,7774.0,7929.0
Banking & Financial Services,KSA,2026-01,FY25,355832.0,340930.0,210410.0,205263.0,55229.0,56383.0,10075.0,10957.0,5078.0,5204.0,9287.0,9634.0,5185.0,5172.0,2457.0,2057.0,7485.0,7664.0
Banking & Financial Services,KSA,2026-02,FY25,349411.0,340650.0,199260.0,190390.0,51514.0,52449.0,9291.0,9354.0,3184.0,3141.0,7278.0,7231.0,5139.0,5189.0,3751.0,4458.0,7219.0,7043.0
Banking & Financial Services,KSA,2026-03,FY25,350392.0,359709.0,204427.0,214477.0,58582.0,62452.0,8760.0,8977.0,3150.0,3071.0,9698.0,10141.0,5303.0,5353.0,4074.0,4016.0,8328.0,8474.0
Banking & Financial Services,India,2023-04,FY23,329551.0,320371.0,191510.0,188200.0,52524.0,53395.0,8380.0,8035.0,3052.0,2768.0,9055.0,9123.0,4552.0,4387.0,2130.0,2783.0,6924.0,7037.0
Banking & Financial Services,India,2023-05,FY23,343181.0,328076.0,186095.0,176867.0,55935.0,55063.0,8803.0,7911.0,4743.0,5623.0,8954.0,8504.0,5320.0,5273.0,3452.0,3254.0,8388.0,8280.0
Banking & Financial Services,India,2023-06,FY23,332766.0,334818.0,190356.0,190014.0,54660.0,55840.0,10824.0,10395.0,4868.0,6291.0,7526.0,7306.0,5010.0,5024.0,3926.0,5065.0,9322.0,9120.0
Banking & Financial Services,India,2023-07,FY23,340627.0,334952.0,201803.0,201029.0,48736.0,51809.0,11161.0,10441.0,4545.0,4256.0,9215.0,8722.0,5280.0,5516.0,2498.0,2675.0,8003.0,7776.0
Banking & Financial Services,India,2023-08,FY23,332503.0,332423.0,184255.0,194093.0,50290.0,48937.0,11293.0,12442.0,4173.0,4990.0,6443.0,6260.0,6197.0,6319.0,2272.0,2779.0,8142.0,7900.0
Banking & Financial Services,India,2023-09,FY23,347570.0,358057.0,205100.0,213953.0,56243.0,57821.0,7531.0,7052.0,3513.0,2894.0,7715.0,8200.0,5442.0,5230.0,3973.0,4601.0,7009.0,7015.0
Banking & Financial Services,India,2023-10,FY23,316159.0,330286.0,178868.0,190408.0,46544.0,47280.0,9474.0,8296.0,4686.0,3907.0,7354.0,7437.0,6294.0,6328.0,2638.0,2855.0,8333.0,8574.0
Banking & Financial Services,India,2023-11,FY23,311283.0,330467.0,182820.0,193175.0,50424.0,52396.0,9828.0,10521.0,3215.0,2643.0,7303.0,7788.0,4171.0,4287.0,2735.0,3329.0,8192.0,8345.0
Banking & Financial Services,India,2023-12,FY23,367505.0,355716.0,208545.0,199960.0,51934.0,51515.0,7581.0,8567.0,4266.0,5523.0,8611.0,8315.0,6625.0,6420.0,2992.0,3795.0,10532.0,10426.0
Banking & Financial Services,India,2024-01,FY23,321398.0,326570.0,190708.0,199382.0,53622.0,54294.0,11122.0,11109.0,3691.0,4659.0,7454.0,7933.0,5726.0,5485.0,3090.0,3997.0,8181.0,8093.0
Banking & Financial Services,India,2024-02,FY23,330722.0,324457.0,184672.0,184461.0,50529.0,52847.0,8358.0,7211.0,4660.0,4549.0,9254.0,8971.0,6562.0,6856.0,2133.0,2522.0,7816.0,7957.0
Banking & Financial Services,India,2024-03,FY23,377462.0,358010.0,207063.0,200108.0,61692.0,60077.0,7930.0,8593.0,3988.0,3954.0,8935.0,9193.0,6580.0,6875.0,3107.0,3908.0,9716.0,9733.0
Banking & Financial Services,India,2024-04,FY24,338291.0,332327.0,187744.0,179672.0,54827.0,56192.0,8730.0,8892.0,3326.0,3094.0,7599.0,8354.0,4832.0,5033.0,3027.0,2644.0,9651.0,9623.0
Banking & Financial Services,India,2024-05,FY24,338926.0,341173.0,184805.0,190840.0,56047.0,56336.0,8545.0,7430.0,3998.0,4980.0,8986.0,9418.0,6581.0,6672.0,3648.0,4032.0,7190.0,7061.0
Banking & Financial Services,India,2024-06,FY24,351617.0,339778.0,190428.0,186633.0,53118.0,56220.0,9942.0,10276.0,3025.0,2888.0,9844.0,10330.0,5698.0,5851.0,3847.0,3248.0,10451.0,10540.0
Banking & Financial Services,India,2024-07,FY24,350066.0,342660.0,196272.0,200308.0,57204.0,59514.0,7957.0,9070.0,3861.0,4847.0,6495.0,6121.0,4629.0,4474.0,2778.0,3405.0,8213.0,8430.0
Banking & Financial Services,India,2024-08,FY24,366331.0,351730.0,203327.0,199357.0,57340.0,56409.0,8991.0,9081.0,4219.0,3731.0,10043.0,9518.0,6326.0,6466.0,3528.0,4606.0,9391.0,9574.0
Banking & Financial Services,India,2024-09,FY24,357446.0,378068.0,206778.0,222049.0,57025.0,60125.0,9383.0,9774.0,4106.0,4572.0,7469.0,8158.0,5670.0,5843.0,3614.0,3536.0,7410.0,7214.0
Banking & Financial Services,India,2024-10,FY24,350868.0,351532.0,193764.0,197763.0,52412.0,54981.0,10881.0,12059.0,5203.0,4503.0,7616.0,7777.0,5106.0,5089.0,2668.0,2531.0,7357.0,7264.0
Banking & Financial Services,India,2024-11,FY24,358474.0,353579.0,198916.0,204426.0,51904.0,52216.0,10276.0,9699.0,4783.0,5018.0,8298.0,8379.0,5187.0,4940.0,4184.0,4616.0,10635.0,10453.0
Banking & Financial Services,India,2024-12,FY24,364314.0,385084.0,207547.0,228667.0,58155.0,59421.0,10219.0,11283.0,4013.0,4981.0,9208.0,9737.0,5438.0,5384.0,3432.0,3146.0,9302.0,9064.0
Banking & Financial Services,India,2025-01,FY24,370373.0,358983.0,206217.0,210449.0,59412.0,58406.0,12825.0,12417.0,5024.0,4871.0,10144.0,10711.0,5034.0,5039.0,3334.0,2758.0,7915.0,7836.0
Banking & Financial Services,India,2025-02,FY24,360504.0,362374.0,207786.0,210956.0,54018.0,56040.0,8089.0,9280.0,4750.0,4511.0,7702.0,8234.0,5861.0,5983.0,2811.0,3625.0,8538.0,8627.0
Banking & Financial Services,India,2025-03,FY24,408684.0,404620.0,240227.0,244419.0,65652.0,63875.0,11083.0,12636.0,5509.0,6545.0,9717.0,10201.0,6812.0,6588.0,3995.0,4682.0,11611.0,11366.0
Banking & Financial Services,India,2025-04,FY25,358505.0,379857.0,213989.0,221224.0,50394.0,50621.0,7984.0,8440.0,3898.0,4629.0,9753.0,10505.0,6412.0,6131.0,2448.0,2263.0,8335.0,8416.0
Banking & Financial Services,India,2025-05,FY25,375651.0,384239.0,206755.0,221321.0,56449.0,56955.0,11863.0,12649.0,4697.0,5386.0,9053.0,8642.0,5249.0,5279.0,2761.0,3821.0,8631.0,8522.0
Banking & Financial Services,India,2025-06,FY25,393168.0,383729.0,219790.0,213531.0,66057.0,69855.0,9476.0,8401.0,5008.0,4957.0,10931.0,11667.0,7721.0,7956.0,3044.0,2961.0,10671.0,10573.0
Banking & Financial Services,India,2025-07,FY25,375560.0,386867.0,213598.0,216200.0,58646.0,62906.0,11433.0,10189.0,4623.0,5055.0,7671.0,7982.0,6102.0,6186.0,2372.0,2486.0,10205.0,9960.0
Banking & Financial Services,India,2025-08,FY25,371701.0,395165.0,212993.0,236892.0,56576.0,60698.0,12332.0,12249.0,3493.0,4478.0,7884.0,8170.0,7160.0,6866.0,3511.0,3936.0,10122.0,10387.0
Banking & Financial Services,India,2025-09,FY25,422919.0,440079.0,250763.0,256005.0,70877.0,76525.0,10977.0,10962.0,6156.0,7886.0,11529.0,12426.0,5106.0,5141.0,2810.0,3905.0,9662.0,9946.0
Banking & Financial Services,India,2025-10,FY25,410591.0,410891.0,244841.0,254287.0,63248.0,62692.0,8906.0,8004.0,4604.0,4275.0,8155.0,8584.0,7525.0,7576.0,4329.0,3919.0,11727.0,12006.0
Banking & Financial Services,India,2025-11,FY25,421410.0,420639.0,229755.0,234997.0,61333.0,60442.0,10474.0,9682.0,4141.0,3800.0,10762.0,11749.0,6075.0,6210.0,2557.0,3048.0,11348.0,11050.0
Banking & Financial Services,India,2025-12,FY25,443274.0,453794.0,250151.0,258413.0,73962.0,77467.0,10933.0,9678.0,6389.0,6054.0,10703.0,10269.0,5793.0,5592.0,4648.0,5408.0,10709.0,10741.0
Banking & Financial Services,India,2026-01,FY25,424372.0,422470.0,246070.0,241132.0,62563.0,65880.0,14045.0,12283.0,4722.0,5439.0,7970.0,8142.0,5302.0,5327.0,3833.0,4383.0,9123.0,9029.0
Banking & Financial Services,India,2026-02,FY25,407580.0,427256.0,225116.0,239896.0,58173.0,59694.0,13096.0,12913.0,4725.0,4859.0,7572.0,7596.0,7522.0,7690.0,3414.0,4404.0,11191.0,11244.0
Banking & Financial Services,India,2026-03,FY25,450993.0,459567.0,245262.0,263576.0,75784.0,74086.0,15337.0,13182.0,4899.0,5803.0,11572.0,12684.0,7742.0,7680.0,5393.0,5552.0,12942.0,13258.0
Banking & Financial Services,UK,2023-04,FY23,173776.0,172960.0,100653.0,99729.0,25259.0,25994.0,4854.0,5186.0,1661.0,1332.0,3167.0,3084.0,3022.0,3035.0,1597.0,2067.0,3906.0,3870.0
Banking & Financial Services,UK,2023-05,FY23,181668.0,172608.0,106004.0,98239.0,29845.0,30326.0,5721.0,6380.0,1473.0,1330.0,3453.0,3198.0,3049.0,3111.0,1143.0,1422.0,4364.0,4294.0
Banking & Financial Services,UK,2023-06,FY23,179353.0,171852.0,97458.0,94275.0,26666.0,28259.0,5555.0,5253.0,2185.0,2483.0,3803.0,3705.0,2358.0,2396.0,1314.0,1288.0,3696.0,3795.0
Banking & Financial Services,UK,2023-07,FY23,184361.0,175684.0,106479.0,101707.0,28552.0,30749.0,6291.0,6614.0,2489.0,2388.0,4086.0,3869.0,2768.0,2838.0,1630.0,2135.0,4242.0,4295.0
Banking & Financial Services,UK,2023-08,FY23,187992.0,179079.0,107859.0,107829.0,29462.0,29013.0,4445.0,4049.0,2355.0,2970.0,4976.0,4661.0,3346.0,3242.0,1431.0,1723.0,4893.0,5003.0
Banking & Financial Services,UK,2023-09,FY23,199291.0,193223.0,116278.0,114272.0,30767.0,32787.0,4981.0,5664.0,1616.0,2050.0,5505.0,5181.0,3985.0,3977.0,1486.0,1728.0,4393.0,4502.0
Banking & Financial Services,UK,2023-10,FY23,185646.0,179705.0,104489.0,102346.0,27991.0,27957.0,5141.0,5137.0,1613.0,2082.0,4213.0,4513.0,3586.0,3540.0,1575.0,1792.0,4124.0,4036.0
Banking & Financial Services,UK,2023-11,FY23,188583.0,179232.0,108388.0,103171.0,27264.0,27435.0,4846.0,5331.0,2168.0,2444.0,4686.0,4528.0,3503.0,3666.0,1858.0,2033.0,4089.0,4161.0
Banking & Financial Services,UK,2023-12,FY23,198350.0,193241.0,112920.0,115006.0,30995.0,32253.0,4142.0,3563.0,2762.0,3515.0,4896.0,5178.0,3035.0,3139.0,1466.0,1795.0,3985.0,3986.0
Banking & Financial Services,UK,2024-01,FY23,180961.0,178438.0,104958.0,105427.0,27958.0,28620.0,3637.0,3693.0,1463.0,1558.0,3754.0,4114.0,2196.0,2265.0,1818.0,2334.0,5266.0,5142.0
Banking & Financial Services,UK,2024-02,FY23,169338.0,176786.0,93393.0,98618.0,27849.0,27832.0,4395.0,4228.0,1836.0,1987.0,4725.0,4539.0,2959.0,3062.0,1680.0,2209.0,4673.0,4559.0
Banking & Financial Services,UK,2024-03,FY23,193442.0,192226.0,105110.0,100696.0,28076.0,28777.0,5128.0,5565.0,2314.0,2844.0,3666.0,3721.0,2387.0,2318.0,2168.0,2889.0,4789.0,4659.0
Banking & Financial Services,UK,2024-04,FY24,184324.0,175368.0,109481.0,105595.0,25987.0,27862.0,4556.0,5187.0,2232.0,2625.0,4632.0,4594.0,2325.0,2247.0,1372.0,1785.0,4404.0,4509.0
