InvoiceID,InvoiceDate,Client,BusinessUnit,Region,Revenue,COGS,GrossMargin,PaymentStatus
INV-100037,2024-01-04,Ironclad Public Utilities,Technology & Telecom,USA,81444.54,51273.82,30170.72,Paid
INV-100038,2024-01-25,Keystone Energy,Healthcare & Life Sciences,India,129022.49,76364.92,52657.57,Paid
INV-100039,2024-01-28,Willow Pharma,Public Sector,India,25438.43,15238.72,10199.71,Outstanding
INV-100040,2024-01-21,Zenith Media,Public Sector,India,161518.42,106907.56,54610.86,Paid
INV-100041,2024-01-06,Meridian Health Group,Healthcare & Life Sciences,UK,68308.52,36044.38,32264.14,Paid
INV-100042,2024-01-27,Northbridge Bank,Technology & Telecom,KSA,106785.77,64656.54,42129.23,Outstanding
INV-100043,2024-01-25,Coral Bay Hospitality,Banking & Financial Services,UK,32355.52,18042.6,14312.92,Paid
INV-100044,2024-01-14,Willow Pharma,Healthcare & Life Sciences,UK,27815.35,15175.09,12640.26,Paid
INV-100045,2024-01-27,Coral Bay Hospitality,Public Sector,UAE,145917.91,81436.17,64481.74,Paid
INV-100046,2024-01-13,Solstice Retail Co,Healthcare & Life Sciences,USA,163603.4,95750.21,67853.19,Paid
INV-100047,2024-01-27,Apex Manufacturing,Technology & Telecom,UAE,102778.87,57719.37,45059.5,Paid
INV-100048,2024-01-01,Northbridge Bank,Technology & Telecom,UK,107059.5,50787.93,56271.57,Paid
INV-100049,2024-01-18,Granite Construction Group,Retail & Consumer,USA,10641.61,6557.82,4083.79,Paid
INV-100050,2024-01-01,Granite Construction Group,Retail & Consumer,UK,161482.29,91256.11,70226.18,Paid
INV-100051,2024-01-07,Falcon Aerospace,Retail & Consumer,India,42365.37,26548.15,15817.22,Paid
INV-100052,2024-01-13,Solstice Retail Co,Healthcare & Life Sciences,UAE,77154.44,35394.74,41759.7,Overdue
INV-100053,2024-01-13,Falcon Aerospace,Technology & Telecom,USA,70376.85,39048.97,31327.88,Outstanding
INV-100054,2024-01-14,Northbridge Bank,Technology & Telecom,UK,128756.53,68498.05,60258.48,Overdue
INV-100055,2024-01-12,Willow Pharma,Banking & Financial Services,KSA,110317.36,74572.86,35744.5,Paid
INV-100056,2024-01-10,Meridian Health Group,Retail & Consumer,UAE,138236.58,88873.38,49363.2,Paid
INV-100057,2024-02-12,Meridian Health Group,Banking & Financial Services,UK,172210.62,86113.01,86097.61,Paid
INV-100058,2024-02-28,Zenith Media,Public Sector,India,166023.48,80688.14,85335.34,Paid
INV-100059,2024-02-05,Willow Pharma,Banking & Financial Services,USA,103260.27,51742.71,51517.56,Paid
INV-100060,2024-02-10,Coral Bay Hospitality,Retail & Consumer,USA,19674.64,8960.31,10714.33,Paid
INV-100061,2024-02-01,Willow Pharma,Technology & Telecom,USA,151258.3,70661.33,80596.97,Paid
INV-100062,2024-02-03,Zenith Media,Healthcare & Life Sciences,UAE,34082.74,18224.36,15858.38,Paid
INV-100063,2024-02-13,Apex Manufacturing,Retail & Consumer,USA,183081.63,111790.7,71290.93,Paid
INV-100064,2024-02-03,Vantage Telecom,Public Sector,India,49183.04,28353.46,20829.58,Paid
INV-100065,2024-02-16,CedarPoint Logistics,Banking & Financial Services,UAE,163842.21,84134.87,79707.34,Paid
INV-100066,2024-02-26,Horizon Insurance,Healthcare & Life Sciences,UK,97484.89,61993.42,35491.47,Paid
INV-100067,2024-02-11,Zenith Media,Banking & Financial Services,India,91625.18,52860.05,38765.13,Paid
INV-100068,2024-02-11,Solstice Retail Co,Public Sector,UAE,168332.41,110888.92,57443.49,Paid
INV-100069,2024-02-17,Solstice Retail Co,Healthcare & Life Sciences,USA,73864.53,42800.14,31064.39,Paid
INV-100070,2024-02-21,CedarPoint Logistics,Retail & Consumer,India,35393.31,22879.61,12513.7,Paid
INV-100071,2024-02-01,Granite Construction Group,Public Sector,UK,36457.38,22563.51,13893.87,Paid
INV-100072,2024-02-12,Horizon Insurance,Retail & Consumer,UK,142232.97,91568.51,50664.46,Paid
INV-100073,2024-02-15,BlueHarbor Financial,Technology & Telecom,UK,33018.32,17577.76,15440.56,Paid
INV-100074,2024-02-04,Northbridge Bank,Technology & Telecom,KSA,18822.87,10635.1,8187.77,Paid
INV-100075,2024-02-08,BlueHarbor Financial,Retail & Consumer,UK,102085.88,60994.27,41091.61,Outstanding
INV-100076,2024-02-08,Falcon Aerospace,Banking & Financial Services,KSA,25293.36,13232.26,12061.1,Outstanding
INV-100077,2024-02-10,Northbridge Bank,Healthcare & Life Sciences,UK,60481.71,28230.81,32250.9,Outstanding
INV-100078,2024-02-06,Zenith Media,Retail & Consumer,UK,126894.25,68289.94,58604.31,Overdue
INV-100079,2024-02-17,Solstice Retail Co,Retail & Consumer,India,144392.27,78075.54,66316.73,Paid
INV-100080,2024-02-02,Solstice Retail Co,Technology & Telecom,KSA,106235.09,68181.5,38053.59,Outstanding
INV-100081,2024-02-13,BlueHarbor Financial,Technology & Telecom,India,32090.89,17727.76,14363.13,Paid
INV-100082,2024-02-11,Solstice Retail Co,Technology & Telecom,UAE,160161.02,98094.39,62066.63,Paid
INV-100083,2024-02-12,Willow Pharma,Public Sector,UK,92232.18,56176.28,36055.9,Overdue
INV-100084,2024-02-16,Solstice Retail Co,Healthcare & Life Sciences,USA,84329.02,47722.5,36606.52,Overdue
INV-100085,2024-02-17,Northbridge Bank,Technology & Telecom,UAE,149127.61,84840.62,64286.99,Paid
INV-100086,2024-02-12,Ironclad Public Utilities,Healthcare & Life Sciences,KSA,18183.59,9582.03,8601.56,Paid
INV-100087,2024-02-27,Horizon Insurance,Banking & Financial Services,India,147512.6,89699.46,57813.14,Overdue
INV-100088,2024-02-03,Granite Construction Group,Healthcare & Life Sciences,UK,43402.62,23705.11,19697.51,Paid
INV-100089,2024-02-11,Ironclad Public Utilities,Technology & Telecom,UK,176423.42,110899.35,65524.07,Paid
INV-100090,2024-02-17,Falcon Aerospace,Retail & Consumer,UK,87691.04,54320.34,33370.7,Overdue
INV-100091,2024-02-06,Keystone Energy,Technology & Telecom,UK,133790.35,70799.21,62991.14,Paid
INV-100092,2024-02-27,Zenith Media,Banking & Financial Services,USA,132690.08,60553.5,72136.58,Outstanding
INV-100093,2024-02-24,Horizon Insurance,Healthcare & Life Sciences,KSA,92403.67,59865.76,32537.91,Paid
INV-100094,2024-02-21,Apex Manufacturing,Healthcare & Life Sciences,KSA,18555.63,9101.44,9454.19,Paid
INV-100095,2024-02-27,Apex Manufacturing,Banking & Financial Services,UAE,142799.08,91714.25,51084.83,Paid
INV-100096,2024-02-04,Falcon Aerospace,Technology & Telecom,UK,115394.27,77637.7,37756.57,Paid
INV-100097,2024-02-12,Solstice Retail Co,Banking & Financial Services,India,35897.79,23444.83,12452.96,Paid
INV-100098,2024-02-02,Horizon Insurance,Retail & Consumer,USA,79534.25,45914.77,33619.48,Paid
INV-100099,2024-02-19,Solstice Retail Co,Banking & Financial Services,UK,177097.64,80014.24,97083.4,Paid
INV-100100,2024-02-19,Solstice Retail Co,Banking & Financial Services,KSA,140197.29,95169.76,45027.53,Outstanding
INV-100101,2024-02-16,Northbridge Bank,Banking & Financial Services,India,40636.1,22001.59,18634.51,Paid
INV-100102,2024-02-15,Northbridge Bank,Technology & Telecom,USA,12473.37,5818.01,6655.36,Paid
INV-100103,2024-02-25,Keystone Energy,Healthcare & Life Sciences,UAE,78810.99,38981.82,39829.17,Paid
INV-100104,2024-02-07,Keystone Energy,Retail & Consumer,UAE,174621.13,90275.15,84345.98,Paid
INV-100105,2024-02-13,Solstice Retail Co,Technology & Telecom,UK,40486.55,26756.29,13730.26,Overdue
INV-100106,2024-02-15,Vantage Telecom,Banking & Financial Services,UK,36304.01,18663.4,17640.61,Paid
INV-100107,2024-03-02,Keystone Energy,Public Sector,UAE,103567.83,69423.34,34144.49,Paid
INV-100108,2024-03-20,Granite Construction Group,Retail & Consumer,India,18773.21,12251.86,6521.35,Overdue
INV-100109,2024-03-24,Zenith Media,Public Sector,India,27244.45,16042.44,11202.01,Overdue
INV-100110,2024-03-16,Vantage Telecom,Healthcare & Life Sciences,UK,132026.44,89513.99,42512.45,Paid
INV-100111,2024-03-13,Coral Bay Hospitality,Banking & Financial Services,KSA,166380.96,79382.15,86998.81,Paid
INV-100112,2024-03-14,CedarPoint Logistics,Banking & Financial Services,India,180564.42,104644.09,75920.33,Paid
INV-100113,2024-03-27,Solstice Retail Co,Technology & Telecom,UK,88103.56,52734.63,35368.93,Paid
INV-100114,2024-03-07,Apex Manufacturing,Healthcare & Life Sciences,USA,122080.27,64929.18,57151.09,Overdue
INV-100115,2024-03-01,Apex Manufacturing,Retail & Consumer,USA,140558.59,82208.27,58350.32,Outstanding
INV-100116,2024-03-27,Willow Pharma,Banking & Financial Services,USA,160071.76,88041.91,72029.85,Paid
INV-100117,2024-03-01,BlueHarbor Financial,Technology & Telecom,India,141376.11,91144.07,50232.04,Paid
INV-100118,2024-03-19,Northbridge Bank,Public Sector,UAE,125724.0,83247.42,42476.58,Paid
INV-100119,2024-03-12,Ironclad Public Utilities,Banking & Financial Services,KSA,40952.23,19160.87,21791.36,Paid
INV-100120,2024-03-19,Keystone Energy,Healthcare & Life Sciences,USA,13765.67,7014.72,6750.95,Paid
INV-100121,2024-03-07,Ironclad Public Utilities,Healthcare & Life Sciences,KSA,167079.15,88577.69,78501.46,Paid
INV-100122,2024-03-03,Vantage Telecom,Healthcare & Life Sciences,UAE,177460.59,89844.05,87616.54,Paid
INV-100123,2024-03-04,Solstice Retail Co,Retail & Consumer,India,68897.29,46429.05,22468.24,Overdue
INV-100124,2024-03-22,Keystone Energy,Healthcare & Life Sciences,India,58211.34,36855.31,21356.03,Paid
INV-100125,2024-03-18,Vantage Telecom,Technology & Telecom,USA,97259.97,56168.44,41091.53,Paid
INV-100126,2024-03-07,Willow Pharma,Healthcare & Life Sciences,USA,42274.46,26566.37,15708.09,Paid
INV-100127,2024-03-05,Horizon Insurance,Healthcare & Life Sciences,UK,170687.15,100053.73,70633.42,Paid
INV-100128,2024-03-18,Granite Construction Group,Public Sector,UAE,69387.07,43139.53,26247.54,Paid
INV-100129,2024-03-19,Meridian Health Group,Healthcare & Life Sciences,India,141220.57,66487.65,74732.92,Paid
INV-100130,2024-03-20,Apex Manufacturing,Retail & Consumer,USA,77529.46,51073.69,26455.77,Overdue
INV-100131,2024-03-16,Ironclad Public Utilities,Healthcare & Life Sciences,UAE,28869.08,14602.77,14266.31,Paid
INV-100132,2024-03-09,Vantage Telecom,Banking & Financial Services,UK,89382.07,52309.92,37072.15,Paid
INV-100133,2024-03-09,Meridian Health Group,Banking & Financial Services,UK,40258.66,25291.34,14967.32,Paid
INV-100134,2024-03-04,Ironclad Public Utilities,Healthcare & Life Sciences,UK,68515.92,46369.95,22145.97,Overdue
INV-100135,2024-03-04,Solstice Retail Co,Healthcare & Life Sciences,UK,87001.92,53218.02,33783.9,Outstanding
INV-100136,2024-03-09,CedarPoint Logistics,Healthcare & Life Sciences,UK,30675.26,16792.16,13883.1,Outstanding
INV-100137,2024-03-13,CedarPoint Logistics,Healthcare & Life Sciences,USA,119431.29,64694.45,54736.84,Paid
INV-100138,2024-03-15,Keystone Energy,Healthcare & Life Sciences,UAE,165593.05,90731.15,74861.9,Paid
INV-100139,2024-03-18,Northbridge Bank,Banking & Financial Services,USA,112977.19,67985.64,44991.55,Paid
INV-100140,2024-03-04,CedarPoint Logistics,Healthcare & Life Sciences,India,18811.94,9184.54,9627.4,Paid
INV-100141,2024-03-09,CedarPoint Logistics,Healthcare & Life Sciences,India,70768.75,37018.63,33750.12,Paid
INV-100142,2024-03-08,Willow Pharma,Healthcare & Life Sciences,UAE,110993.94,52629.5,58364.44,Paid
INV-100143,2024-03-05,Coral Bay Hospitality,Technology & Telecom,UK,170366.6,94728.76,75637.84,Paid
INV-100144,2024-03-28,Apex Manufacturing,Public Sector,KSA,74262.03,46078.64,28183.39,Paid
INV-100145,2024-03-09,Solstice Retail Co,Banking & Financial Services,USA,104510.35,64052.83,40457.52,Paid
INV-100146,2024-03-01,Willow Pharma,Public Sector,UAE,112554.03,69701.26,42852.77,Paid
INV-100147,2024-03-21,Granite Construction Group,Public Sector,UK,95196.96,52284.75,42912.21,Paid
INV-100148,2024-03-25,Zenith Media,Public Sector,KSA,178210.71,116290.39,61920.32,Paid
INV-100149,2024-03-28,Ironclad Public Utilities,Public Sector,USA,84109.71,39692.49,44417.22,Overdue
INV-100150,2024-03-10,Northbridge Bank,Healthcare & Life Sciences,India,90706.78,52144.37,38562.41,Paid
INV-100151,2024-03-26,Horizon Insurance,Banking & Financial Services,USA,67037.21,37929.31,29107.9,Paid
INV-100152,2024-03-06,Willow Pharma,Public Sector,USA,42002.66,26038.62,15964.04,Paid
INV-100153,2024-03-01,Willow Pharma,Technology & Telecom,UK,31890.7,20134.62,11756.08,Outstanding
INV-100154,2024-04-12,BlueHarbor Financial,Technology & Telecom,KSA,124547.8,78359.41,46188.39,Paid
INV-100155,2024-04-19,Keystone Energy,Healthcare & Life Sciences,India,138469.15,64863.83,73605.32,Paid
INV-100156,2024-04-01,Solstice Retail Co,Public Sector,KSA,38552.59,25059.28,13493.31,Paid
INV-100157,2024-04-21,Coral Bay Hospitality,Healthcare & Life Sciences,India,137092.49,82618.56,54473.93,Paid
INV-100158,2024-04-19,Solstice Retail Co,Retail & Consumer,UK,38462.29,20945.54,17516.75,Paid
INV-100159,2024-04-26,Keystone Energy,Healthcare & Life Sciences,UAE,24043.22,16049.47,7993.75,Paid
INV-100160,2024-04-20,Vantage Telecom,Retail & Consumer,UAE,58882.81,34262.82,24619.99,Paid
INV-100161,2024-04-06,Granite Construction Group,Banking & Financial Services,USA,132283.32,72230.17,60053.15,Outstanding
INV-100162,2024-04-27,Northbridge Bank,Healthcare & Life Sciences,UK,78534.84,40078.18,38456.66,Paid
INV-100163,2024-04-03,Zenith Media,Banking & Financial Services,USA,71951.25,35591.92,36359.33,Outstanding
INV-100164,2024-04-03,Zenith Media,Retail & Consumer,UAE,11321.06,5697.53,5623.53,Paid
INV-100165,2024-04-07,Willow Pharma,Banking & Financial Services,USA,46870.27,25088.21,21782.06,Outstanding
INV-100166,2024-04-03,Ironclad Public Utilities,Healthcare & Life Sciences,KSA,36377.01,23367.19,13009.82,Paid
INV-100167,2024-04-14,Ironclad Public Utilities,Healthcare & Life Sciences,UK,158835.5,96859.54,61975.96,Paid
INV-100168,2024-04-11,Keystone Energy,Public Sector,KSA,89668.44,53943.41,35725.03,Paid
INV-100169,2024-04-27,Horizon Insurance,Technology & Telecom,UAE,171453.99,106665.53,64788.46,Paid
INV-100170,2024-04-17,Apex Manufacturing,Technology & Telecom,KSA,77193.25,38614.33,38578.92,Paid
INV-100171,2024-04-07,Northbridge Bank,Banking & Financial Services,USA,65624.9,36520.04,29104.86,Paid
INV-100172,2024-04-28,BlueHarbor Financial,Banking & Financial Services,UK,154230.74,92781.82,61448.92,Paid
INV-100173,2024-04-26,Falcon Aerospace,Banking & Financial Services,KSA,181997.87,118989.04,63008.83,Paid
INV-100174,2024-04-14,Meridian Health Group,Banking & Financial Services,USA,53838.61,33050.81,20787.8,Paid
INV-100175,2024-04-27,Solstice Retail Co,Healthcare & Life Sciences,UAE,76868.83,39470.99,37397.84,Paid
INV-100176,2024-04-13,Meridian Health Group,Healthcare & Life Sciences,UK,39625.85,22113.99,17511.86,Outstanding
INV-100177,2024-04-14,CedarPoint Logistics,Technology & Telecom,UK,166290.32,103594.2,62696.12,Paid
INV-100178,2024-04-02,Granite Construction Group,Retail & Consumer,USA,59740.2,35452.55,24287.65,Paid
INV-100179,2024-04-04,Keystone Energy,Technology & Telecom,UAE,91788.52,59425.73,32362.79,Outstanding
INV-100180,2024-04-16,Coral Bay Hospitality,Technology & Telecom,UAE,184646.96,118590.52,66056.44,Overdue
INV-100181,2024-04-02,Ironclad Public Utilities,Public Sector,KSA,38521.09,23512.76,15008.33,Paid
INV-100182,2024-04-09,Horizon Insurance,Public Sector,KSA,86817.45,44391.5,42425.95,Paid
INV-100183,2024-04-25,Granite Construction Group,Technology & Telecom,KSA,46767.3,24760.04,22007.26,Paid
INV-100184,2024-04-15,Granite Construction Group,Healthcare & Life Sciences,USA,153832.91,89484.28,64348.63,Overdue
INV-100185,2024-04-18,Granite Construction Group,Banking & Financial Services,KSA,71531.57,37016.66,34514.91,Paid
INV-100186,2024-04-18,Willow Pharma,Healthcare & Life Sciences,UK,157045.81,75612.46,81433.35,Overdue
INV-100187,2024-04-24,Northbridge Bank,Retail & Consumer,UK,38613.32,21956.12,16657.2,Paid
INV-100188,2024-04-28,Meridian Health Group,Banking & Financial Services,UAE,113424.76,56966.61,56458.15,Paid
INV-100189,2024-04-03,Falcon Aerospace,Retail & Consumer,UK,139319.58,71278.81,68040.77,Paid
INV-100190,2024-04-01,Willow Pharma,Retail & Consumer,KSA,64867.81,37992.57,26875.24,Paid
INV-100191,2024-04-14,Ironclad Public Utilities,Healthcare & Life Sciences,UK,102452.6,52273.93,50178.67,Paid
INV-100192,2024-04-15,Horizon Insurance,Technology & Telecom,UK,138455.94,71654.83,66801.11,Outstanding
INV-100193,2024-04-13,Keystone Energy,Public Sector,India,56817.9,31540.66,25277.24,Paid
INV-100194,2024-04-12,Meridian Health Group,Public Sector,UK,157253.72,105594.98,51658.74,Paid
INV-100195,2024-04-25,Horizon Insurance,Technology & Telecom,UK,31253.13,20366.82,10886.31,Paid
INV-100196,2024-04-23,BlueHarbor Financial,Public Sector,UAE,73090.51,37882.44,35208.07,Paid
INV-100197,2024-04-02,Coral Bay Hospitality,Retail & Consumer,USA,140138.43,81474.84,58663.59,Paid
INV-100198,2024-04-25,Apex Manufacturing,Technology & Telecom,KSA,110105.05,52332.84,57772.21,Outstanding
INV-100199,2024-04-27,Horizon Insurance,Retail & Consumer,UAE,131458.26,78803.54,52654.72,Outstanding
INV-100200,2024-04-25,BlueHarbor Financial,Banking & Financial Services,India,180803.86,96471.23,84332.63,Paid
INV-100201,2024-04-09,Northbridge Bank,Retail & Consumer,UAE,48337.17,24508.64,23828.53,Paid
INV-100202,2024-05-15,Coral Bay Hospitality,Healthcare & Life Sciences,KSA,12787.81,7175.25,5612.56,Paid
INV-100203,2024-05-04,Northbridge Bank,Technology & Telecom,UK,132049.22,86381.68,45667.54,Outstanding
INV-100204,2024-05-28,Keystone Energy,Healthcare & Life Sciences,KSA,138076.51,75492.62,62583.89,Outstanding
INV-100205,2024-05-25,Keystone Energy,Public Sector,India,145369.97,85955.94,59414.03,Outstanding
INV-100206,2024-05-25,Apex Manufacturing,Public Sector,USA,84270.7,42147.73,42122.97,Paid
INV-100207,2024-05-19,Falcon Aerospace,Public Sector,UAE,76536.32,47669.03,28867.29,Paid
INV-100208,2024-05-28,Vantage Telecom,Retail & Consumer,KSA,131258.48,80005.7,51252.78,Outstanding
INV-100209,2024-05-26,Granite Construction Group,Technology & Telecom,UK,12260.46,7896.74,4363.72,Paid
INV-100210,2024-05-04,Zenith Media,Banking & Financial Services,India,109067.3,52567.14,56500.16,Outstanding
INV-100211,2024-05-03,Northbridge Bank,Retail & Consumer,USA,82797.98,50592.59,32205.39,Outstanding
INV-100212,2024-05-06,Zenith Media,Technology & Telecom,UK,13263.9,7160.83,6103.07,Paid
INV-100213,2024-05-22,Granite Construction Group,Banking & Financial Services,UK,143052.07,83386.84,59665.23,Paid
INV-100214,2024-05-17,Apex Manufacturing,Healthcare & Life Sciences,USA,110899.71,69462.0,41437.71,Overdue
INV-100215,2024-05-18,Meridian Health Group,Public Sector,USA,172696.51,97197.7,75498.81,Paid
INV-100216,2024-05-03,BlueHarbor Financial,Retail & Consumer,KSA,144752.86,72908.76,71844.1,Outstanding
INV-100217,2024-05-20,Willow Pharma,Banking & Financial Services,USA,82851.29,53108.13,29743.16,Paid
INV-100218,2024-05-23,Solstice Retail Co,Technology & Telecom,USA,59672.8,27267.34,32405.46,Overdue
INV-100219,2024-05-11,Coral Bay Hospitality,Healthcare & Life Sciences,UAE,127399.21,64286.05,63113.16,Paid
INV-100220,2024-05-19,Falcon Aerospace,Public Sector,UAE,27992.99,14906.89,13086.1,Overdue
INV-100221,2024-05-03,BlueHarbor Financial,Technology & Telecom,UAE,183917.45,108093.31,75824.14,Overdue
INV-100222,2024-05-20,CedarPoint Logistics,Public Sector,UK,41603.61,22241.66,19361.95,Outstanding
INV-100223,2024-05-25,Solstice Retail Co,Retail & Consumer,KSA,107369.78,60975.82,46393.96,Paid
INV-100224,2024-05-23,Falcon Aerospace,Healthcare & Life Sciences,UAE,131435.33,82810.34,48624.99,Paid
INV-100225,2024-05-01,Apex Manufacturing,Public Sector,UAE,81328.5,45987.98,35340.52,Paid
INV-100226,2024-05-11,Falcon Aerospace,Technology & Telecom,India,125408.29,75984.15,49424.14,Outstanding
INV-100227,2024-05-25,Ironclad Public Utilities,Banking & Financial Services,UAE,75191.62,48552.0,26639.62,Overdue
INV-100228,2024-05-15,Keystone Energy,Healthcare & Life Sciences,USA,24488.19,11027.98,13460.21,Paid
INV-100229,2024-05-14,Meridian Health Group,Technology & Telecom,UAE,173834.09,117300.65,56533.44,Paid
INV-100230,2024-05-18,Northbridge Bank,Technology & Telecom,UAE,44034.91,25013.19,19021.72,Paid
INV-100231,2024-05-06,Coral Bay Hospitality,Banking & Financial Services,UK,36202.12,17541.78,18660.34,Overdue
INV-100232,2024-05-27,BlueHarbor Financial,Public Sector,KSA,123276.91,77318.13,45958.78,Paid
INV-100233,2024-05-28,Zenith Media,Public Sector,India,141151.07,64498.12,76652.95,Paid
INV-100234,2024-05-11,Apex Manufacturing,Healthcare & Life Sciences,USA,97852.7,57074.97,40777.73,Overdue
INV-100235,2024-05-01,Solstice Retail Co,Technology & Telecom,India,23720.66,12959.98,10760.68,Paid
INV-100236,2024-05-13,Keystone Energy,Public Sector,UAE,135304.13,88414.27,46889.86,Paid
INV-100237,2024-05-02,Solstice Retail Co,Technology & Telecom,UK,77368.62,35092.69,42275.93,Outstanding
INV-100238,2024-05-21,Solstice Retail Co,Banking & Financial Services,KSA,118607.38,65820.76,52786.62,Paid
INV-100239,2024-05-09,Keystone Energy,Technology & Telecom,KSA,127035.66,82947.11,44088.55,Paid
INV-100240,2024-05-21,Vantage Telecom,Retail & Consumer,USA,75522.88,45292.65,30230.23,Paid
INV-100241,2024-05-01,CedarPoint Logistics,Public Sector,UK,167298.28,78409.57,88888.71,Paid
INV-100242,2024-05-07,Granite Construction Group,Healthcare & Life Sciences,India,36728.21,23935.34,12792.87,Paid
INV-100243,2024-05-08,Ironclad Public Utilities,Banking & Financial Services,USA,23934.39,15868.21,8066.18,Outstanding
INV-100244,2024-05-19,CedarPoint Logistics,Healthcare & Life Sciences,UAE,40327.21,26582.84,13744.37,Outstanding
INV-100245,2024-05-15,BlueHarbor Financial,Banking & Financial Services,KSA,115977.94,69502.77,46475.17,Paid
INV-100246,2024-05-25,Solstice Retail Co,Retail & Consumer,KSA,74451.58,35779.96,38671.62,Paid
INV-100247,2024-05-09,Northbridge Bank,Retail & Consumer,India,47348.14,29627.75,17720.39,Outstanding
INV-100248,2024-05-25,Granite Construction Group,Banking & Financial Services,USA,152282.0,96188.58,56093.42,Paid
INV-100249,2024-05-09,Falcon Aerospace,Banking & Financial Services,KSA,162645.6,104129.92,58515.68,Outstanding
INV-100250,2024-05-15,Coral Bay Hospitality,Healthcare & Life Sciences,UAE,70353.24,43258.48,27094.76,Outstanding
INV-100251,2024-05-14,Vantage Telecom,Public Sector,India,56930.81,34945.78,21985.03,Paid
INV-100252,2024-05-26,Vantage Telecom,Healthcare & Life Sciences,KSA,83736.09,45022.11,38713.98,Outstanding
INV-100253,2024-05-05,Ironclad Public Utilities,Public Sector,USA,80172.22,46870.34,33301.88,Paid
